,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
98,Cameroon,2022,0.0,0.0,343.0,0.0,0.0
99,Cameroon,2023,0.0,0.0,99.0,0.0,0.0
100,Cameroon,2024,0.0,0.0,65.0,0.0,0.0
101,Canada,2020,0.0,0.0,1.0,0.0,0.0
102,Canada,2021,815.0,0.0,822.0,99.14841849148418,0.0
103,Canada,2022,0.0,0.0,38.0,0.0,0.0
104,Canada,2023,0.0,2.0,29.0,0.0,6.896551724137931
105,Canada,2024,0.0,0.0,3.0,0.0,0.0
106,Canary Islands,2021,0.0,0.0,1.0,0.0,0.0
107,Canary Islands,2022,0.0,0.0,16.0,0.0,0.0
108,Canary Islands,2024,0.0,0.0,59.0,0.0,0.0
109,Central African Republic,2021,0.0,0.0,0.0,0.0,0.0
110,Central African Republic,2022,0.0,0.0,16.0,0.0,0.0
111,Central African Republic,2023,0.0,0.0,0.0,0.0,0.0
112,Central African Republic,2024,0.0,0.0,58.0,0.0,0.0
113,Chad,2020,0.0,0.0,3.0,0.0,0.0
114,Chad,2021,0.0,0.0,32.0,0.0,0.0
115,Chad,2022,0.0,0.0,22.0,0.0,0.0
116,Chad,2023,0.0,0.0,20.0,0.0,0.0
117,Chad,2024,0.0,0.0,577.0,0.0,0.0
118,Chile,2021,0.0,0.0,0.0,0.0,0.0
119,Chile,2022,0.0,0.0,3.0,0.0,0.0
120,Chile,2023,0.0,0.0,47.0,0.0,0.0
121,Chile,2024,0.0,0.0,137.0,0.0,0.0
122,China,2020,0.0,0.0,546.0,0.0,0.0
123,China,2021,0.0,0.0,580.0,0.0,0.0
124,China,2022,0.0,0.0,552.0,0.0,0.0
125,China,2023,0.0,0.0,619.0,0.0,0.0
126,China,2024,0.0,0.0,506.0,0.0,0.0
127,"China, Hong Kong Special Administrative Region",2021,0.0,0.0,2.0,0.0,0.0
128,"China, Hong Kong Special Administrative Region",2023,0.0,0.0,0.0,0.0,0.0
129,Colombia,2020,0.0,0.0,129.0,0.0,0.0
130,Colombia,2021,0.0,0.0,65.0,0.0,0.0
131,Colombia,2022,0.0,0.0,195.0,0.0,0.0
132,Colombia,2023,0.0,0.0,51.0,0.0,0.0
133,Colombia,2024,0.0,0.0,35.0,0.0,0.0
134,Comoros,2022,0.0,0.0,14.0,0.0,0.0
135,Comoros,2024,0.0,0.0,25.0,0.0,0.0
136,Congo,2020,0.0,0.0,20.0,0.0,0.0
137,Congo,2021,0.0,0.0,49.0,0.0,0.0
138,Congo,2022,0.0,0.0,34.0,0.0,0.0
139,Congo,2023,0.0,0.0,106.0,0.0,0.0
140,Costa Rica,2020,0.0,0.0,0.0,0.0,0.0
141,Costa Rica,2021,0.0,0.0,3.0,0.0,0.0
142,Costa Rica,2022,0.0,0.0,0.0,0.0,0.0
143,Costa Rica,2023,0.0,0.0,0.0,0.0,0.0
144,Costa Rica,2024,0.0,0.0,0.0,0.0,0.0
145,Croatia,2020,0.0,0.0,9.0,0.0,0.0
146,Croatia,2021,0.0,0.0,10.0,0.0,0.0
147,Croatia,2022,731.0,0.0,731.0,100.0,0.0
148,Croatia,2023,561.0,0.0,562.0,99.8220640569395,0.0
149,Cuba,2020,0.0,0.0,0.0,0.0,0.0
150,Cuba,2021,0.0,0.0,10.0,0.0,0.0
151,Cuba,2022,0.0,0.0,71.0,0.0,0.0
152,Cuba,2023,0.0,0.0,23.0,0.0,0.0
153,Cuba,2024,0.0,0.0,10.0,0.0,0.0
154,Cyprus,2021,0.0,0.0,4.0,0.0,0.0
155,Cyprus,2022,101.0,0.0,101.0,100.0,0.0
156,Cyprus,2023,151.0,0.0,151.0,100.0,0.0
157,Cyprus,2024,0.0,0.0,0.0,0.0,0.0
158,Czechia,2020,0.0,0.0,12.0,0.0,0.0
159,Czechia,2021,0.0,0.0,6.0,0.0,0.0
160,Czechia,2022,279.0,0.0,280.0,99.64285714285714,0.0
161,Czechia,2023,361.0,0.0,361.0,100.0,0.0
162,Czechia,2024,0.0,0.0,13.0,0.0,0.0
163,Côte d’Ivoire,2020,0.0,0.0,24.0,0.0,0.0
164,Côte d’Ivoire,2021,0.0,0.0,25.0,0.0,0.0
165,Côte d’Ivoire,2022,0.0,0.0,34.0,0.0,0.0
166,Côte d’Ivoire,2023,0.0,0.0,0.0,0.0,0.0
167,Côte d’Ivoire,2024,0.0,0.0,46.0,0.0,0.0
168,Democratic People's Republic of Korea,2020,0.0,0.0,22.0,0.0,0.0
169,Democratic People's Republic of Korea,2021,0.0,0.0,0.0,0.0,0.0
170,Democratic People's Republic of Korea,2024,0.0,0.0,0.0,0.0,0.0
171,Democratic Republic of the Congo,2020,0.0,0.0,266.0,0.0,0.0
172,Democratic Republic of the Congo,2021,0.0,0.0,562.0,0.0,0.0
173,Democratic Republic of the Congo,2022,0.0,0.0,370.0,0.0,0.0
174,Democratic Republic of the Congo,2023,0.0,0.0,2946.0,0.0,0.0
175,Democratic Republic of the Congo,2024,0.0,0.0,444.0,0.0,0.0
176,Denmark,2022,252.0,0.0,253.0,99.60474308300395,0.0
177,Denmark,2023,189.0,0.0,189.0,100.0,0.0
178,Djibouti,2020,0.0,0.0,8.0,0.0,0.0
179,Djibouti,2021,0.0,0.0,34.0,0.0,0.0
180,Djibouti,2022,0.0,0.0,0.0,0.0,0.0
181,Djibouti,2024,0.0,0.0,236.0,0.0,0.0
182,Dominican Republic,2020,0.0,0.0,6.0,0.0,0.0
183,Dominican Republic,2021,0.0,0.0,2.0,0.0,0.0
184,Dominican Republic,2022,0.0,0.0,2.0,0.0,0.0
185,Dominican Republic,2023,0.0,0.0,70.0,0.0,0.0
186,Dominican Republic,2024,0.0,0.0,2.0,0.0,0.0
187,Ecuador,2020,0.0,0.0,0.0,0.0,0.0
188,Ecuador,2021,0.0,0.0,18.0,0.0,0.0
189,Ecuador,2022,0.0,0.0,77.0,0.0,0.0
190,Ecuador,2023,0.0,0.0,119.0,0.0,0.0
191,Ecuador,2024,0.0,0.0,43.0,0.0,0.0
192,Egypt,2020,0.0,0.0,40.0,0.0,0.0
193,Egypt,2021,0.0,0.0,98.0,0.0,0.0
194,Egypt,2022,0.0,0.0,129.0,0.0,0.0
195,Egypt,2023,0.0,0.0,17.0,0.0,0.0
196,Egypt,2024,0.0,0.0,22.0,0.0,0.0
197,El Salvador,2020,0.0,0.0,86.0,0.0,0.0
198,El Salvador,2021,0.0,0.0,5.0,0.0,0.0
199,El Salvador,2022,0.0,0.0,11.0,0.0,0.0
200,El Salvador,2023,0.0,0.0,15.0,0.0,0.0
201,El Salvador,2024,0.0,0.0,19.0,0.0,0.0
202,Equatorial Guinea,2021,0.0,0.0,107.0,0.0,0.0
203,Equatorial Guinea,2023,0.0,0.0,10.0,0.0,0.0
204,Eritrea,2020,0.0,0.0,0.0,0.0,0.0
205,Estonia,2022,167.0,0.0,167.0,100.0,0.0
206,Estonia,2023,103.0,0.0,103.0,100.0,0.0
207,Eswatini,2021,0.0,0.0,0.0,0.0,0.0
208,Eswatini,2022,0.0,0.0,0.0,0.0,0.0
209,Ethiopia,2020,0.0,0.0,44.0,0.0,0.0
210,Ethiopia,2021,0.0,0.0,16.0,0.0,0.0
