,latitude,longitude,temp_data_present
241,-70.0,-50.0,no
242,-20.0,-120.0,no
243,-10.0,-110.0,no
244,-10.0,130.0,no
245,10.0,-140.0,no
246,40.0,-170.0,no
247,70.0,30.0,no
248,-60.0,150.0,no
249,-73.0,-180.0,no
250,-50.0,50.0,no
251,20.0,130.0,no
252,60.0,0.0,no
253,10.0,-120.0,no
254,80.0,160.0,no
255,70.0,-120.0,no
256,-30.0,-140.0,no
257,0.0,-130.0,no
258,-60.0,-140.0,no
259,-60.0,-50.0,no
260,-20.0,-80.0,no
261,80.0,110.0,no
262,-50.0,140.0,no
263,-28.0,-180.0,no
264,0.0,-100.0,no
265,-10.0,50.0,no
266,0.0,-20.0,no
267,-70.0,-80.0,no
268,-67.0,-180.0,no
269,-10.0,0.0,no
270,60.0,160.0,no
271,30.0,-30.0,no
272,-60.0,110.0,no
273,0.0,80.0,no
274,20.0,-140.0,no
275,80.0,130.0,no
276,0.0,-50.0,no
277,20.0,-120.0,no
278,-66.0,-180.0,no
279,20.0,-60.0,no
280,-50.0,180.0,no
281,30.0,130.0,no
282,-44.0,-180.0,no
283,-30.0,-10.0,no
284,-70.0,-40.0,no
285,-10.0,10.0,no
286,-20.0,70.0,no
287,-50.0,130.0,no
288,20.0,60.0,no
289,-50.0,-60.0,no
290,0.0,-140.0,no
291,40.0,-130.0,no
292,-40.0,-50.0,no
293,-10.0,110.0,no
294,30.0,-50.0,no
295,80.0,30.0,no
296,-20.0,0.0,no
297,-40.0,-30.0,no
298,10.0,-60.0,no
299,70.0,-60.0,no
300,-60.0,40.0,no
301,0.0,70.0,no
302,-53.0,-180.0,no
303,-75.0,-180.0,no
304,-63.0,-180.0,no
305,-52.0,-180.0,no
306,80.0,10.0,no
307,-60.0,180.0,no
308,50.0,-140.0,no
309,-40.0,-130.0,no
310,30.0,-60.0,no
311,30.0,-130.0,no
312,70.0,-140.0,no
313,-10.0,90.0,no
314,-35.0,-180.0,no
315,-57.0,-180.0,no
316,-60.0,-160.0,no
317,-24.0,-180.0,no
318,-30.0,90.0,no
319,-39.0,-180.0,no
320,-26.0,-180.0,no
321,-20.0,150.0,no
322,-75.0,-175.0,no
323,-20.0,50.0,no
324,0.0,-10.0,no
325,-40.0,40.0,no
326,20.0,-110.0,no
327,20.0,-70.0,no
328,-10.0,-170.0,no
329,-70.0,-160.0,no
330,-50.0,-170.0,no
331,80.0,140.0,no
332,30.0,150.0,no
333,60.0,-60.0,no
334,-30.0,-90.0,no
335,-30.0,-170.0,no
336,40.0,-30.0,no
337,-40.0,-180.0,no
338,-60.0,70.0,no
339,10.0,170.0,no
340,-50.0,110.0,no
341,80.0,-130.0,no
342,-37.0,-180.0,no
343,60.0,-80.0,no
344,-30.0,-130.0,no
345,10.0,150.0,no
346,20.0,170.0,no
347,30.0,-40.0,no
348,40.0,170.0,no
349,60.0,-170.0,no
350,40.0,120.0,no
351,-60.0,100.0,no
352,50.0,-20.0,no
353,10.0,-150.0,no
354,-30.0,-180.0,no
355,30.0,140.0,no
356,0.0,60.0,no
357,0.0,140.0,no
358,70.0,50.0,no
359,50.0,-130.0,no
360,-20.0,110.0,no
361,-10.0,170.0,no
362,-60.0,170.0,no
