,date,temp_max,temp_min,latitude,longitude,country,region,city,notes,min_mean,min_std,min_extreme,std_below_extreme
0,2021-02-21,-22.451649999999972,-31.61203999999998,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,0.14703314254668573
1,2021-02-22,-7.086649999999963,-32.61976999999999,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,0.2917728121499815
2,2021-02-25,-21.70253999999997,-31.47706999999997,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,0.12764748050788757
3,2021-02-26,-17.150499999999965,-30.80696999999998,50,60,Kazakhstan,,Aktobe,,-13.182436588235271,6.962362169003203,-30.58834201074328,0.03140141003150374
4,2021-03-13,-11.634860000000003,-24.28840999999997,50,60,Kazakhstan,,Aktobe,,-7.996859408602128,6.38208702235106,-23.952076964479776,0.05269953768137351
5,2021-03-14,-10.950019999999997,-25.045319999999975,50,60,Kazakhstan,,Aktobe,,-7.996859408602128,6.38208702235106,-23.952076964479776,0.17129867262722875
6,2021-04-01,0.40300000000002,-11.175849999999969,50,60,Kazakhstan,,Aktobe,,2.8047552777778,4.693063933660034,-8.927904556372287,0.47899314294543405
7,2021-04-02,2.7277500000000146,-9.386329999999989,50,60,Kazakhstan,,Aktobe,,2.8047552777778,4.693063933660034,-8.927904556372287,0.0976814827387583
8,2023-01-09,-26.100409999999982,-34.95375999999999,50,60,Kazakhstan,,Aktobe,,-14.891543494623631,7.297432226175669,-33.13512406006281,0.24921587259334713
9,2023-01-10,-29.097079999999977,-35.343079999999986,50,60,Kazakhstan,,Aktobe,,-14.891543494623631,7.297432226175669,-33.13512406006281,0.3025661453925269
10,2023-08-29,14.941250000000023,7.354579999999999,50,60,Kazakhstan,,Aktobe,,16.202869096774222,3.4582823742055453,7.557163161260359,0.058579126670331196
11,2023-08-30,16.245420000000024,7.405799999999999,50,60,Kazakhstan,,Aktobe,,16.202869096774222,3.4582823742055453,7.557163161260359,0.043768306020740014
12,2023-12-11,-23.221689999999967,-31.202919999999978,50,60,Kazakhstan,,Aktobe,,-13.11678141935482,7.095775130500297,-30.85621924560556,0.04886016651009268
13,2023-12-12,-26.62173999999999,-31.306359999999984,50,60,Kazakhstan,,Aktobe,,-13.11678141935482,7.095775130500297,-30.85621924560556,0.06343785507795363
14,2021-02-09,-6.497719999999958,-12.822180000000005,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,0.5497076541914246
15,2021-02-10,-6.377839999999992,-14.022130000000004,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,0.8265661384246636
16,2021-02-11,-2.921549999999968,-13.066839999999956,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,0.6061568368677787
17,2021-02-12,-3.2704799999999636,-14.845399999999984,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,1.0165151232279412
18,2021-02-13,-2.0868299999999635,-11.074299999999994,50,10,Germay,,Frankfurt,,0.3957522941176702,4.334163727448221,-10.439657024502882,0.1464280113549757
