,disaster_subtype,country,subregion,region,location,temperature,magnitude_scale,start_year,start_month,total_deaths,start_date,end_date,duration_days
48,Cold wave,United States of America,Northern America,Americas,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",-37.0,°C,2014,1,21.0,2014-01-05,2014-01-08,3 days
49,Cold wave,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-24.0,°C,2014,1,78.0,2014-01-23,2014-01-27,4 days
50,Cold wave,Romania,Eastern Europe,Europe,Bucarest province,-18.0,°C,2014,1,13.0,2014-01-26,2014-01-31,5 days
51,Cold wave,India,Southern Asia,Asia,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",-9.0,°C,2014,1,24.0,2014-01-20,2014-01-24,4 days
52,Cold wave,India,Southern Asia,Asia,Muzaffarnagar district (Uttar Pradesh province),3.1,°C,2014,12,16.0,2014-12-07,2014-12-09,2 days
53,Cold wave,Peru,Latin America and the Caribbean,Americas,"Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao, Cusco, Huancavelica, Huanuco, Junin, La Libertad, Lambayeuqe, Lima, Loreto, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Ucayali provinces",,°C,2014,4,505.0,2014-04-13,2014-09-27,167 days
54,Cold wave,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-20.0,°C,2016,1,21.0,2016-01-02,2016-01-04,2 days
55,Cold wave,Ukraine,Eastern Europe,Europe,"Cherkas'ka, Chernihivs'ka, Chernivets'ka, Dnipropetrovs'ka, Donets'ka, Ivano-frankivs'ka, Kharkivs'ka, Khersons'ka, Khmel'nyts'ka, Kirovohrads'ka, Krym, Kyyivs'ka, L'vivs'ka, Luhans'ka, Mykolayivs'ka, Odes'ka, Poltavs'ka, Rivnens'ka, Sums'ka, Ternopil's'ka, Vinnyts'ka, Volyns'ka, Zakarpats'ka, Zaporiz'ka, Zhytomyrs'ka",,°C,2016,1,37.0,2016-01-01,2016-01-12,11 days
56,Cold wave,China,Eastern Asia,Asia,"Yakeshi city (Hulunbuir district, Nei Mongol Zizhiqu province), Harbin district (Heilongjiang Sheng province), Mohe area (Daxing'anling district, Heilongjiang province), Changsha district (Hunan Sheng province), Changchun district (Jilin Sheng province), Zhejiang Sheng, Beijing Shi, Hainan Sheng, Shanghai Shi provinces",-41.0,°C,2016,1,5.0,2016-01-20,2016-01-26,6 days
57,Cold wave,Japan,Eastern Asia,Asia,"Okinawa city (Okinawa province), Kagosima province (Amami ?shima Isl.), Nagasaki, Hirosima, Isikawa, Tookyoo provinces",,°C,2016,1,8.0,2016-01-20,2016-01-26,6 days
58,Cold wave,Republic of Korea,Eastern Asia,Asia,"Jejudo, Ulleungedo (Kangwondo), Seoul, Chollabuk-do, Chollanam-do, Chungchongbuk-do, Chungchongnam-do, Inchon, Kang-won-do, Kwangju, Kyonggi-do, Kyongsangbuk-do, Kyongsangnam-do, Pusan, Taegu, Taejon",-18.0,°C,2016,1,6.0,2016-01-20,2016-01-26,6 days
59,Cold wave,Thailand,South-eastern Asia,Asia,"Chai Nat Province, Bangkok, Chiang Rai, Phetchabum",8.6,°C,2016,1,14.0,2016-01-20,2016-01-26,6 days
60,Cold wave,Taiwan (Province of China),Eastern Asia,Asia,"Taipei, Taoyuan, Kaohsiung, Yangmingshan, the Matsu Islands, Kinmen, Miaoli County",-1.3,°C,2016,1,85.0,2016-01-20,2016-01-26,6 days
61,Cold wave,Bangladesh,Southern Asia,Asia,,2.6,°C,2018,1,34.0,2018-01-01,2018-01-10,9 days
62,Cold wave,India,Southern Asia,Asia,New Delhi,4.2,°C,2018,1,44.0,2018-01-01,2018-02-07,37 days
63,Cold wave,Nepal,Southern Asia,Asia,"SAptari, Rautahat, Siraha regions",,°C,2018,1,50.0,2018-01-01,2018-01-07,6 days
64,Cold wave,Czechia,Eastern Europe,Europe,,,°C,2018,2,3.0,2018-02-23,2018-02-28,5 days
65,Cold wave,Estonia,Northern Europe,Europe,,,°C,2018,2,7.0,2018-02-01,2018-02-28,27 days
66,Cold wave,France,Western Europe,Europe,,,°C,2018,2,3.0,2018-02-23,2018-02-28,5 days
67,Cold wave,Italy,Southern Europe,Europe,,,°C,2018,2,1.0,2018-02-23,2018-02-28,5 days
68,Cold wave,Lithuania,Northern Europe,Europe,,,°C,2018,2,5.0,2018-02-23,2018-02-28,5 days
69,Cold wave,Poland,Eastern Europe,Europe,,,°C,2018,2,9.0,2018-02-23,2018-02-28,5 days
70,Cold wave,Romania,Eastern Europe,Europe,,,°C,2018,2,2.0,2018-02-23,2018-02-28,5 days
71,Cold wave,Algeria,Northern Africa,Africa,"Tizi Ouzou, Medea, Setif, Bourdj Bouriridj, Batna, Bejaia Bouira, Boumerdes, Jijel (northern governorates); Oum El Bouaghi, El Bayedh, Khanchela (high plateau North-East); Naama governortae (West)",,°C,2019,1,8.0,2019-01-11,2019-03-22,70 days
72,Cold wave,State of Palestine,Western Asia,Asia,West Bank and Gaza Strip,0.0,°C,2020,1,3.0,2020-01-18,2020-02-05,18 days
73,Cold wave,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",-33.0,°C,2023,1,166.0,2023-01-09,2023-01-23,14 days
74,Cold wave,Mongolia,Eastern Asia,Asia,"Dornod, Dornogovi, Dundgovi, Govi-Altai, Khentii, Ömnögovi, Sükhbaatar",,°C,2023,5,2.0,2023-05-19,2023-05-22,3 days
