,latitude,longitude,temp_data_present
345,10,150,no
346,20,170,no
347,30,-40,no
348,40,170,no
349,60,-170,no
350,40,120,no
351,-60,100,no
352,50,-20,no
353,10,-150,no
354,-30,-180,no
355,30,140,no
356,0,60,no
357,0,140,no
358,70,50,no
359,50,-130,no
360,-20,110,no
361,-10,170,no
362,-60,170,no
363,50,160,no
364,-70,-110,no
365,40,-150,no
366,70,-20,no
367,-30,70,no
368,-10,150,no
369,-50,-90,no
370,50,170,no
371,80,120,no
372,-50,-100,no
373,60,-50,no
374,-50,-20,no
375,40,10,no
376,30,-150,no
377,10,-130,no
378,-30,10,no
379,-60,130,no
380,0,-40,no
381,0,-30,no
382,-15,-180,no
383,-40,-40,no
384,0,90,no
385,-20,180,no
386,-20,160,no
387,-40,110,no
388,0,130,no
389,20,-170,no
390,40,-40,no
391,-70,-175,no
392,10,-50,no
393,30,-10,no
394,70,10,no
395,-20,-130,no
396,50,150,no
397,-50,30,no
398,30,-80,no
399,-70,-100,no
400,10,-110,no
401,80,-120,no
402,-50,-10,no
403,-10,-150,no
404,-20,60,no
405,-50,90,no
406,-30,100,no
407,-70,-140,no
408,10,130,no
409,-50,-50,no
410,50,-160,no
411,-50,170,no
412,-40,140,no
413,-30,-30,no
414,20,140,no
415,-50,10,no
416,-40,-90,no
417,0,150,no
418,-70,-20,no
419,-10,-30,no
420,50,180,no
421,20,150,no
422,-20,-110,no
423,-25,-180,no
424,-30,60,no
425,10,70,no
426,30,-170,no
427,20,120,no
428,-20,-170,no
429,-40,30,no
430,-76,-180,no
431,60,-10,no
432,-58,-180,no
433,10,100,no
434,-60,-60,no
435,-20,-100,no
436,0,-160,no
437,-40,-80,no
438,-60,50,no
439,-19,-180,no
440,-70,-170,no
441,-10,-160,no
442,30,-160,no
443,10,-100,no
444,-33,-180,no
445,-20,-180,no
446,80,100,no
447,0,180,no
448,60,170,no
449,-62,-180,no
450,-50,-160,no
451,60,-40,no
452,20,-160,no
453,40,160,no
454,0,-150,no
455,-60,-150,no
456,30,-70,no
457,-20,-150,no
458,-10,-90,no
459,-40,-140,no
460,-60,-90,no
461,-50,-80,no
462,-50,-180,no
463,-30,-110,no
464,-30,-120,no
465,-40,0,no
466,-60,20,no
467,-50,20,no
468,-20,10,no
469,50,-60,no
470,80,-170,no
471,50,0,no
