,date,mean,max,min,latitude,longitude
0,2020-01-01 06:00:00,20.52973416666669,27.177030000000002,14.425740000000019,10.000000000000815,9.999999999999972
1,2020-01-02 06:00:00,17.421294166666694,23.01430000000005,12.544950000000028,10.000000000000815,9.999999999999972
2,2020-01-03 06:00:00,17.07199375000002,23.90963000000005,10.777060000000006,10.000000000000815,9.999999999999972
3,2020-01-04 06:00:00,18.296456250000023,24.855700000000013,12.022850000000005,10.000000000000815,9.999999999999972
4,2020-01-05 06:00:00,20.10909333333335,26.997550000000047,13.6447,10.000000000000815,9.999999999999972
5,2020-01-06 06:00:00,21.342830416666686,28.07560000000001,14.919399999999996,10.000000000000815,9.999999999999972
6,2020-01-07 06:00:00,22.085550000000023,28.814840000000004,15.71646000000004,10.000000000000815,9.999999999999972
7,2020-01-08 06:00:00,23.039385833333355,30.151400000000024,16.32247000000001,10.000000000000815,9.999999999999972
8,2020-01-09 06:00:00,23.187940416666688,30.172799999999995,16.676780000000008,10.000000000000815,9.999999999999972
9,2020-01-10 06:00:00,23.52556958333335,30.650350000000003,16.619349999999997,10.000000000000815,9.999999999999972
10,2020-01-11 06:00:00,23.995837083333345,31.008020000000045,16.76907,10.000000000000815,9.999999999999972
11,2020-01-12 06:00:00,24.174249166666687,31.62026000000003,16.61510000000004,10.000000000000815,9.999999999999972
12,2020-01-13 06:00:00,25.75949541666669,33.930499999999995,16.789450000000045,10.000000000000815,9.999999999999972
13,2020-01-14 06:00:00,26.251735833333356,34.39047000000005,17.468230000000005,10.000000000000815,9.999999999999972
14,2020-01-15 06:00:00,23.82851166666669,30.238800000000026,18.305300000000045,10.000000000000815,9.999999999999972
15,2020-01-16 06:00:00,21.541180000000015,28.537230000000022,15.38357000000002,10.000000000000815,9.999999999999972
16,2020-01-17 06:00:00,21.687993750000018,29.06832000000003,14.730950000000007,10.000000000000815,9.999999999999972
17,2020-01-18 06:00:00,21.48407208333336,28.06707,15.553700000000049,10.000000000000815,9.999999999999972
18,2020-01-19 06:00:00,21.300211250000018,28.09307000000001,14.848600000000033,10.000000000000815,9.999999999999972
19,2020-01-20 06:00:00,22.802647500000024,30.182100000000048,15.486050000000034,10.000000000000815,9.999999999999972
20,2020-01-21 06:00:00,23.883407916666687,31.181420000000003,17.019980000000032,10.000000000000815,9.999999999999972
21,2020-01-22 06:00:00,23.19031208333335,30.498620000000017,16.43804,10.000000000000815,9.999999999999972
22,2020-01-23 06:00:00,22.370505833333358,29.8904,15.488200000000006,10.000000000000815,9.999999999999972
23,2020-01-24 06:00:00,21.55377875000002,29.009240000000034,14.454430000000002,10.000000000000815,9.999999999999972
24,2020-01-25 06:00:00,20.82540416666669,28.238699999999994,13.925000000000011,10.000000000000815,9.999999999999972
25,2020-01-26 06:00:00,20.91088208333336,28.886250000000018,13.301350000000014,10.000000000000815,9.999999999999972
26,2020-01-27 06:00:00,21.56293750000003,29.570500000000038,13.682640000000049,10.000000000000815,9.999999999999972
27,2020-01-28 06:00:00,21.514441250000022,29.48983000000004,13.673879999999997,10.000000000000815,9.999999999999972
28,2020-01-29 06:00:00,21.45856625000002,29.894980000000032,13.271659999999997,10.000000000000815,9.999999999999972
29,2020-01-30 06:00:00,21.22749250000002,29.458950000000016,13.714040000000011,10.000000000000815,9.999999999999972
30,2020-01-31 06:00:00,21.68269625000002,29.685450000000003,13.857200000000034,10.000000000000815,9.999999999999972
31,2020-02-01 06:00:00,21.762312083333356,29.286699999999996,14.641500000000008,10.000000000000815,9.999999999999972
32,2020-02-02 06:00:00,21.353867916666687,29.107700000000023,13.84435000000002,10.000000000000815,9.999999999999972
33,2020-02-03 06:00:00,21.898740416666683,29.711080000000038,14.33376000000004,10.000000000000815,9.999999999999972
34,2020-02-04 06:00:00,22.730160000000026,30.099400000000003,15.533350000000041,10.000000000000815,9.999999999999972
35,2020-02-05 06:00:00,22.656521250000026,29.437160000000006,16.676900000000046,10.000000000000815,9.999999999999972
36,2020-02-06 06:00:00,23.220359166666697,30.528530000000046,16.13372000000004,10.000000000000815,9.999999999999972
37,2020-02-07 06:00:00,24.49923458333335,31.79693000000003,18.48490000000004,10.000000000000815,9.999999999999972
38,2020-02-08 06:00:00,24.305764583333353,31.68380000000002,17.730070000000012,10.000000000000815,9.999999999999972
39,2020-02-09 06:00:00,24.215804166666686,31.509550000000047,17.484460000000013,10.000000000000815,9.999999999999972
40,2020-02-10 06:00:00,24.09286916666669,31.080200000000048,17.61755000000005,10.000000000000815,9.999999999999972
41,2020-02-11 06:00:00,22.825502500000024,29.32772,17.283560000000023,10.000000000000815,9.999999999999972
42,2020-02-12 06:00:00,21.593767500000023,28.611379999999997,14.939050000000009,10.000000000000815,9.999999999999972
43,2020-02-13 06:00:00,21.869848750000028,29.76260000000002,14.40273000000002,10.000000000000815,9.999999999999972
44,2020-02-14 06:00:00,22.772807916666682,30.94490000000002,14.744100000000003,10.000000000000815,9.999999999999972
45,2020-02-15 06:00:00,23.453499583333357,31.638599999999997,15.600729999999999,10.000000000000815,9.999999999999972
46,2020-02-16 06:00:00,24.242932500000023,32.53756000000004,15.996120000000019,10.000000000000815,9.999999999999972
47,2020-02-17 06:00:00,24.587756250000023,32.563199999999995,17.16906,10.000000000000815,9.999999999999972
48,2020-02-18 06:00:00,24.68254791666668,32.56722000000002,16.93470000000002,10.000000000000815,9.999999999999972
49,2020-02-19 06:00:00,24.14293250000002,31.05227000000002,17.50350000000003,10.000000000000815,9.999999999999972
