,date,temp_mean,temp_max,temp_min,latitude,longitude
0,2020-01-01 06:00:00,-2.080291666666639,-0.6530499999999506,-4.36179999999996,-69.99999999999946,20.0
1,2020-01-02 06:00:00,-2.190603333333314,-0.45193999999997914,-4.743799999999965,-69.99999999999946,20.0
2,2020-01-03 06:00:00,-1.1135520833333103,0.283299999999997,-3.2980699999999956,-69.99999999999946,20.0
3,2020-01-04 06:00:00,-0.7753208333333177,0.8315699999999993,-3.922519999999963,-69.99999999999946,20.0
4,2020-01-05 06:00:00,-0.869502499999984,0.07580000000001519,-4.224199999999996,-69.99999999999946,20.0
5,2020-01-06 06:00:00,-1.9406987499999768,0.12050000000004957,-4.61731999999995,-69.99999999999946,20.0
6,2020-01-07 06:00:00,-1.7419237499999767,-0.24765999999999622,-4.507119999999986,-69.99999999999946,20.0
7,2020-01-08 06:00:00,-2.183269999999972,-0.13766999999995733,-5.185599999999965,-69.99999999999946,20.0
8,2020-01-09 06:00:00,-2.2746254166666446,-0.24529999999998608,-4.85391999999996,-69.99999999999946,20.0
9,2020-01-10 06:00:00,-0.4587274999999759,0.7289000000000101,-1.8288299999999822,-69.99999999999946,20.0
10,2020-01-11 06:00:00,-1.1465799999999813,-0.04455999999998994,-3.0738000000000056,-69.99999999999946,20.0
11,2020-01-12 06:00:00,-2.5077991666666457,-0.5349999999999682,-4.56223,-69.99999999999946,20.0
12,2020-01-13 06:00:00,-1.90587249999997,-0.14927000000000135,-4.548199999999952,-69.99999999999946,20.0
13,2020-01-14 06:00:00,-3.902236666666641,-1.9317999999999529,-6.408419999999978,-69.99999999999946,20.0
14,2020-01-15 06:00:00,-5.0170299999999814,-2.5287799999999834,-7.860569999999996,-69.99999999999946,20.0
15,2020-01-16 06:00:00,-3.556150416666649,-0.5917699999999968,-8.905999999999949,-69.99999999999946,20.0
16,2020-01-17 06:00:00,-2.1201099999999733,-0.6386999999999716,-6.447549999999978,-69.99999999999946,20.0
17,2020-01-18 06:00:00,-4.028869166666645,-1.269079999999974,-8.72769999999997,-69.99999999999946,20.0
18,2020-01-19 06:00:00,-1.661624166666653,-0.4562399999999798,-3.7355699999999956,-69.99999999999946,20.0
19,2020-01-20 06:00:00,-1.3802145833333104,-0.3354999999999677,-2.7099999999999795,-69.99999999999946,20.0
20,2020-01-21 06:00:00,-1.245009166666641,0.0005400000000008731,-2.8958999999999833,-69.99999999999946,20.0
21,2020-01-22 06:00:00,-1.5399137499999753,-0.7418599999999742,-2.935099999999977,-69.99999999999946,20.0
22,2020-01-23 06:00:00,-3.2868008333333094,-1.8719999999999573,-5.144999999999982,-69.99999999999946,20.0
23,2020-01-24 06:00:00,-4.374442499999972,-2.0376299999999787,-7.5773699999999735,-69.99999999999946,20.0
24,2020-01-25 06:00:00,-6.018588749999975,-3.744669999999985,-8.610199999999963,-69.99999999999946,20.0
25,2020-01-26 06:00:00,-6.10864916666664,-2.586399999999969,-10.23733999999996,-69.99999999999946,20.0
26,2020-01-27 06:00:00,-6.6913770833333075,-4.746679999999969,-11.556899999999985,-69.99999999999946,20.0
27,2020-01-28 06:00:00,-8.57108958333331,-4.798039999999958,-12.468179999999961,-69.99999999999946,20.0
28,2020-01-29 06:00:00,-8.582530833333307,-4.877799999999979,-12.630619999999965,-69.99999999999946,20.0
29,2020-01-30 06:00:00,-7.564659999999975,-5.257849999999962,-10.911959999999965,-69.99999999999946,20.0
30,2020-01-31 06:00:00,-8.777510416666642,-5.127359999999953,-12.990999999999985,-69.99999999999946,20.0
31,2020-02-01 06:00:00,-8.682837916666644,-5.052039999999977,-13.286999999999978,-69.99999999999946,20.0
32,2020-02-02 06:00:00,-8.13327624999998,-6.227759999999989,-11.603369999999984,-69.99999999999946,20.0
33,2020-02-03 06:00:00,-5.404646249999982,-3.2930999999999813,-7.8376199999999585,-69.99999999999946,20.0
34,2020-02-04 06:00:00,-6.101140416666638,-4.393159999999966,-7.7619699999999625,-69.99999999999946,20.0
35,2020-02-05 06:00:00,-6.9845112499999855,-4.6019000000000005,-10.898019999999974,-69.99999999999946,20.0
36,2020-02-06 06:00:00,-6.08790666666664,-4.288699999999949,-8.792939999999987,-69.99999999999946,20.0
37,2020-02-07 06:00:00,-5.40457458333331,-4.290079999999989,-6.9162000000000035,-69.99999999999946,20.0
38,2020-02-08 06:00:00,-6.707175416666646,-5.409949999999981,-9.023319999999956,-69.99999999999946,20.0
39,2020-02-09 06:00:00,-8.721043333333315,-7.215579999999989,-10.001679999999965,-69.99999999999946,20.0
40,2020-02-10 06:00:00,-7.857163749999974,-6.20886999999999,-10.073649999999986,-69.99999999999946,20.0
41,2020-02-11 06:00:00,-6.842789999999977,-4.951570000000004,-8.62464,-69.99999999999946,20.0
42,2020-02-12 06:00:00,-8.926169999999972,-6.270179999999982,-12.579139999999995,-69.99999999999946,20.0
43,2020-02-13 06:00:00,-9.510687499999968,-5.567479999999989,-13.491029999999967,-69.99999999999946,20.0
44,2020-02-14 06:00:00,-5.30718874999998,-2.6766700000000014,-11.31223,-69.99999999999946,20.0
45,2020-02-15 06:00:00,-5.369579166666642,-4.312569999999994,-6.368200000000002,-69.99999999999946,20.0
46,2020-02-16 06:00:00,-6.600410416666645,-5.48855999999995,-7.774879999999996,-69.99999999999946,20.0
47,2020-02-17 06:00:00,-6.091524166666642,-4.793129999999962,-7.806219999999996,-69.99999999999946,20.0
48,2020-02-18 06:00:00,-6.99697833333331,-5.7629799999999705,-8.140049999999974,-69.99999999999946,20.0
