month,max_mean,max_std,min_mean,min_std,max_extreme,min_extreme,latitude,longitude
1,-0.35440612903223656,4.617218765733219,-5.684690322580621,6.020765710348479,11.188640785300812,-20.736604598451816,50,40
2,-0.22930941176468544,4.807856447801816,-6.573696294117623,5.6073456370326324,11.790331707739856,-20.592060386699202,50,40
3,6.975963548387118,5.800056144820081,-2.0467062903225584,5.20466924564334,21.47610391043732,-15.058379404430909,50,40
4,15.555335444444465,4.851314646801845,5.107264500000023,3.931232433323387,27.68362206144908,-4.7208165833084434,50,40
5,19.944070806451634,4.707987992079787,9.078702419354862,3.951365121269339,31.714040786651104,-0.7997103838184856,50,40
6,25.716075166666688,4.2229970043698515,15.616065722222242,3.0436440677200793,36.273567677591316,8.006955552922044,50,40
7,28.547911724137954,3.952036997936124,17.78819057471267,2.8008813155069126,38.428004218978266,10.785987285945387,50,40
8,28.731865870967763,3.3906083075915454,18.096949935483895,2.9029028121867824,37.208386639946625,10.839692905016939,50,40
9,21.422743800000024,4.7529817791952444,11.398288333333356,3.676265762031693,33.30519824798814,2.207623928254124,50,40
10,13.655064967741959,4.889338678883388,5.988718709677442,3.7802823023924326,25.878411664950427,-3.4619870463036397,50,40
11,5.008431533333354,4.979768094482428,0.032142333333356206,4.922650088220601,17.457851769539424,-12.274482887218145,50,40
12,-0.16022870967739647,3.88036419085081,-4.128870064516106,4.410327227264728,9.540681767449628,-15.154688132677926,50,40
