,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
195,Poland,POL,2014,38011735.0,-24.0,0.0,0.0,78.0,0.020264845948199935,384903.0
196,Poland,POL,2016,37970087.0,-20.0,0.0,0.0,21.0,0.005356104428733205,392076.0
197,Poland,POL,2022,36821749.0,38.3,763.0,0.18099912465692009,0.0,0.0,421549.0
198,Portugal,PRT,2006,10522288.0,47.0,41.0,0.041299004794713726,0.0,0.0,99276.0
199,Portugal,PRT,2018,10283822.0,45.2,0.0,0.0,0.0,0.0,111263.0
200,Portugal,PRT,2022,10434332.0,47.0,2212.0,1.7623391626498826,0.0,0.0,125515.0
201,Republic of Korea,KOR,2016,51217803.0,-18.0,0.0,0.0,6.0,0.0021134202183867557,283900.0
202,Republic of Moldova,MDA,2006,2880967.0,-30.0,0.0,0.0,0.0,0.0,48875.0
203,Romania,ROU,2000,22442971.0,43.0,6.0,0.002339965836498787,0.0,0.0,256414.0
204,Romania,ROU,2001,22131970.0,-31.0,0.0,0.0,10.0,0.003833091848546875,260886.0
205,Romania,ROU,2002,21730496.0,-11.0,0.0,0.0,10.0,0.0035847433323774017,278960.0
206,Romania,ROU,2004,21451748.0,38.0,27.0,0.008965869921830898,0.0,0.0,301142.0
207,Romania,ROU,2005,21319685.0,36.0,13.0,0.004597701149425287,0.0,0.0,282750.0
208,Romania,ROU,2006,21193760.0,-34.0,0.0,0.0,0.0,0.0,267555.0
209,Romania,ROU,2006,21193760.0,36.0,26.0,0.009717628151221245,0.0,0.0,267555.0
210,Romania,ROU,2007,20882982.0,45.0,30.0,0.011782124945507672,0.0,0.0,254623.0
211,Romania,ROU,2009,20367487.0,-31.0,0.0,0.0,43.0,0.017666320187673838,243401.0
212,Romania,ROU,2009,20367487.0,-20.0,0.0,0.0,11.0,0.004519291210800284,243401.0
213,Romania,ROU,2010,20246871.0,-34.0,0.0,0.0,52.0,0.020556447213415454,252962.0
214,Romania,ROU,2012,20058035.0,-32.5,0.0,0.0,86.0,0.032946530845231754,261029.0
215,Romania,ROU,2014,19908979.0,-18.0,0.0,0.0,13.0,0.005003598742172255,259813.0
216,Romania,ROU,2022,19048502.0,39.3,2455.0,0.9152695291674589,0.0,0.0,268227.0
217,Russian Federation,RUS,2000,146596869.0,-7.0,0.0,0.0,232.0,0.010148025574774108,2286159.0
218,Russian Federation,RUS,2001,145976482.0,-57.0,0.0,0.0,145.0,0.006281339008198231,2308425.0
219,Russian Federation,RUS,2001,145976482.0,-26.0,0.0,0.0,332.0,0.014382100349805603,2308425.0
220,Russian Federation,RUS,2001,145976482.0,30.0,276.0,0.01195620390526008,0.0,0.0,2308425.0
221,Russian Federation,RUS,2002,145306497.0,-50.0,0.0,0.0,242.0,0.0101476780686872,2384782.0
222,Russian Federation,RUS,2006,143049637.0,-43.0,0.0,0.0,0.0,0.0,2193337.0
223,Russian Federation,RUS,2010,142849468.0,-51.0,0.0,0.0,11.0,0.0005234164629704265,2101577.0
224,Russian Federation,RUS,2010,142849468.0,-30.0,0.0,0.0,13.0,0.0006185830926014131,2101577.0
225,Russian Federation,RUS,2010,142849468.0,40.0,55736.0,2.6521036345563354,0.0,0.0,2101577.0
226,Russian Federation,RUS,2012,143378447.0,-34.0,0.0,0.0,64.0,0.003337846379792678,1917404.0
227,Serbia,SRB,2007,7381579.0,45.0,0.0,0.0,0.0,0.0,103335.0
228,Serbia,SRB,2010,7291436.0,-18.0,0.0,0.0,3.0,0.0028989988790537667,103484.0
229,Serbia,SRB,2012,7201497.0,-30.0,0.0,0.0,10.0,0.009952922675743733,100473.0
230,Serbia,SRB,2022,6664449.0,40.0,574.0,0.5332590115198811,0.0,0.0,107640.0
