,start_date,start_month,latitude,longitude,duration,max,min,min_mean,min_std,min_extreme,delta_min_mean_C,delta_min_mean_std,delta_min_extreme_C,delta_min_extreme_std
0,2023-06-01 06:00:00,6,70,-70,2,-6.115939999999995,-12.381074999999981,-2.3675315555555327,3.3520452515813335,-10.747644684508867,-10.01354344444445,-2.9872936350487937,-1.6334303154911156,-0.4872936350487935
1,2023-06-02 06:00:00,6,70,-70,2,-6.115939999999995,-12.381074999999981,-2.3675315555555327,3.3520452515813335,-10.747644684508867,-10.01354344444445,-2.9872936350487937,-1.6334303154911156,-0.4872936350487935
2,2021-01-03 06:00:00,1,50,80,3,-30.761673333333317,-38.22504999999998,-15.933863978494601,7.807499100113479,-35.4526117287783,-22.291186021505382,-2.8550994032367405,-2.772438271221681,-0.35509940323674
3,2021-01-04 06:00:00,1,50,80,3,-30.761673333333317,-38.22504999999998,-15.933863978494601,7.807499100113479,-35.4526117287783,-22.291186021505382,-2.8550994032367405,-2.772438271221681,-0.35509940323674
4,2021-01-05 06:00:00,1,50,80,3,-30.761673333333317,-38.22504999999998,-15.933863978494601,7.807499100113479,-35.4526117287783,-22.291186021505382,-2.8550994032367405,-2.772438271221681,-0.35509940323674
5,2021-07-15 06:00:00,7,50,80,2,22.949915000000004,10.323450000000037,16.677318678160944,2.010027108282956,11.652250907453555,-6.353868678160907,-3.1610860629579425,-1.3288009074535179,-0.6610860629579428
6,2021-07-16 06:00:00,7,50,80,2,22.949915000000004,10.323450000000037,16.677318678160944,2.010027108282956,11.652250907453555,-6.353868678160907,-3.1610860629579425,-1.3288009074535179,-0.6610860629579428
7,2022-11-26 06:00:00,11,50,80,4,-25.895787499999976,-34.33381499999997,-7.046176066666644,7.837351823427077,-26.639555625234333,-27.28763893333333,-3.481742245099459,-7.69425937476564,-0.9817422450994593
8,2022-11-27 06:00:00,11,50,80,4,-25.895787499999976,-34.33381499999997,-7.046176066666644,7.837351823427077,-26.639555625234333,-27.28763893333333,-3.481742245099459,-7.69425937476564,-0.9817422450994593
9,2022-11-28 06:00:00,11,50,80,4,-25.895787499999976,-34.33381499999997,-7.046176066666644,7.837351823427077,-26.639555625234333,-27.28763893333333,-3.481742245099459,-7.69425937476564,-0.9817422450994593
10,2022-11-29 06:00:00,11,50,80,4,-25.895787499999976,-34.33381499999997,-7.046176066666644,7.837351823427077,-26.639555625234333,-27.28763893333333,-3.481742245099459,-7.69425937476564,-0.9817422450994593
11,2023-05-02 06:00:00,5,50,80,2,7.819540000000018,-2.2500499999999874,9.061401075268842,4.357019328458754,-1.831147245878043,-11.31145107526883,-2.5961443414734924,-0.4189027541219448,-0.09614434147349235
12,2023-05-03 06:00:00,5,50,80,2,7.819540000000018,-2.2500499999999874,9.061401075268842,4.357019328458754,-1.831147245878043,-11.31145107526883,-2.5961443414734924,-0.4189027541219448,-0.09614434147349235
13,2024-02-20 06:00:00,2,50,80,3,-24.468863333333314,-38.41234999999998,-15.25152988235292,7.69318423951584,-34.484490481142515,-23.160820117647063,-3.0105635581534784,-3.927859518857469,-0.5105635581534785
14,2024-02-21 06:00:00,2,50,80,3,-24.468863333333314,-38.41234999999998,-15.25152988235292,7.69318423951584,-34.484490481142515,-23.160820117647063,-3.0105635581534784,-3.927859518857469,-0.5105635581534785
15,2024-02-22 06:00:00,2,50,80,3,-24.468863333333314,-38.41234999999998,-15.25152988235292,7.69318423951584,-34.484490481142515,-23.160820117647063,-3.0105635581534784,-3.927859518857469,-0.5105635581534785
16,2023-04-30 06:00:00,4,20,80,4,31.44989250000002,22.49320000000003,27.89648665322583,1.94068609210127,23.044771422972655,-5.403286653225798,-2.7799297607189155,-0.551571422972625,-0.2799297607189165
17,2023-05-01 06:00:00,5,20,80,4,31.44989250000002,22.49320000000003,27.89648665322583,1.94068609210127,23.044771422972655,-5.403286653225798,-2.7799297607189155,-0.551571422972625,-0.2799297607189165
18,2023-05-02 06:00:00,5,20,80,4,31.44989250000002,22.49320000000003,27.89648665322583,1.94068609210127,23.044771422972655,-5.403286653225798,-2.7799297607189155,-0.551571422972625,-0.2799297607189165
19,2023-05-03 06:00:00,5,20,80,4,31.44989250000002,22.49320000000003,27.89648665322583,1.94068609210127,23.044771422972655,-5.403286653225798,-2.7799297607189155,-0.551571422972625,-0.2799297607189165
20,2025-03-06 06:00:00,3,20,80,2,33.49381500000001,17.031180000000006,22.81152397849465,2.0478509361477926,17.691896638125172,-5.7803439784946455,-2.8226390292684274,-0.6607166381251659,-0.3226390292684283
21,2025-03-07 06:00:00,3,20,80,2,33.49381500000001,17.031180000000006,22.81152397849465,2.0478509361477926,17.691896638125172,-5.7803439784946455,-2.8226390292684274,-0.6607166381251659,-0.3226390292684283
22,2022-11-26 06:00:00,11,60,130,2,-36.44848999999998,-42.526349999999965,-22.39104253333331,7.5297997368766305,-41.215541875524885,-20.135307466666656,-2.674082733974384,-1.3108081244750807,-0.17408273397438395
23,2022-11-27 06:00:00,11,60,130,2,-36.44848999999998,-42.526349999999965,-22.39104253333331,7.5297997368766305,-41.215541875524885,-20.135307466666656,-2.674082733974384,-1.3108081244750807,-0.17408273397438395
