,start_date,start_month,latitude,longitude,duration,max,min,max_mean,max_std,max_extreme,delta_max_mean_C,delta_max_mean_std,delta_max_extreme_C,delta_max_extreme_std
0,2020-06-26 06:00:00,6,70,-70,3,11.43163666666669,6.211143333333363,1.1875413888889124,3.664172312463835,10.347972170048498,12.6191780555556,3.4439368510675497,21.779608836715187,5.9439368510675505
1,2020-06-27 06:00:00,6,70,-70,3,11.43163666666669,6.211143333333363,1.1875413888889124,3.664172312463835,10.347972170048498,12.6191780555556,3.4439368510675497,21.779608836715187,5.9439368510675505
2,2020-06-28 06:00:00,6,70,-70,3,11.43163666666669,6.211143333333363,1.1875413888889124,3.664172312463835,10.347972170048498,12.6191780555556,3.4439368510675497,21.779608836715187,5.9439368510675505
3,2021-02-08 06:00:00,2,70,-70,2,-11.442579999999964,-19.270004999999983,-28.98554252941174,5.907035415881891,-14.217953989707013,-40.42812252941171,-6.844062999980506,-25.660533989706977,-4.344062999980505
4,2021-02-09 06:00:00,2,70,-70,2,-11.442579999999964,-19.270004999999983,-28.98554252941174,5.907035415881891,-14.217953989707013,-40.42812252941171,-6.844062999980506,-25.660533989706977,-4.344062999980505
5,2023-03-06 06:00:00,3,70,-70,2,-8.910319999999956,-14.169984999999997,-23.49812817204299,5.542020075447163,-9.643077983425082,-32.408448172042945,-5.8477680937357555,-18.553397983425036,-3.3477680937357555
6,2023-03-07 06:00:00,3,70,-70,2,-8.910319999999956,-14.169984999999997,-23.49812817204299,5.542020075447163,-9.643077983425082,-32.408448172042945,-5.8477680937357555,-18.553397983425036,-3.3477680937357555
7,2023-12-01 06:00:00,12,70,-70,3,-5.427839999999965,-10.324246666666644,-21.248181612903203,5.791627310662547,-6.769113336246835,-26.676021612903167,-4.6059630880930245,-12.1969533362468,-2.105963088093025
8,2023-12-02 06:00:00,12,70,-70,3,-5.427839999999965,-10.324246666666644,-21.248181612903203,5.791627310662547,-6.769113336246835,-26.676021612903167,-4.6059630880930245,-12.1969533362468,-2.105963088093025
9,2023-12-03 06:00:00,12,70,-70,3,-5.427839999999965,-10.324246666666644,-21.248181612903203,5.791627310662547,-6.769113336246835,-26.676021612903167,-4.6059630880930245,-12.1969533362468,-2.105963088093025
10,2025-02-13 06:00:00,2,70,-70,2,-12.162509999999969,-18.77674999999998,-28.98554252941174,5.907035415881891,-14.217953989707013,-41.148052529411714,-6.965939702812585,-26.380463989706982,-4.465939702812584
11,2025-02-14 06:00:00,2,70,-70,2,-12.162509999999969,-18.77674999999998,-28.98554252941174,5.907035415881891,-14.217953989707013,-41.148052529411714,-6.965939702812585,-26.380463989706982,-4.465939702812584
12,2025-06-26 06:00:00,6,70,-70,4,12.237550000000027,5.323240000000027,1.1875413888889124,3.664172312463835,10.347972170048498,13.425091388888939,3.663881019793455,22.585522170048527,6.163881019793456
13,2025-06-27 06:00:00,6,70,-70,4,12.237550000000027,5.323240000000027,1.1875413888889124,3.664172312463835,10.347972170048498,13.425091388888939,3.663881019793455,22.585522170048527,6.163881019793456
14,2025-06-28 06:00:00,6,70,-70,4,12.237550000000027,5.323240000000027,1.1875413888889124,3.664172312463835,10.347972170048498,13.425091388888939,3.663881019793455,22.585522170048527,6.163881019793456
15,2025-06-29 06:00:00,6,70,-70,4,12.237550000000027,5.323240000000027,1.1875413888889124,3.664172312463835,10.347972170048498,13.425091388888939,3.663881019793455,22.585522170048527,6.163881019793456
16,2025-03-20 06:00:00,3,50,80,2,19.639640000000014,-0.41891999999998575,2.8276240860215283,6.460525003507399,18.978936594790028,22.467264086021544,3.477622031309241,38.61857659479004,5.977622031309242
17,2025-03-21 06:00:00,3,50,80,2,19.639640000000014,-0.41891999999998575,2.8276240860215283,6.460525003507399,18.978936594790028,22.467264086021544,3.477622031309241,38.61857659479004,5.977622031309242
18,2022-11-02 06:00:00,11,50,-90,2,16.65367500000002,7.953320000000019,0.9282364666666884,5.144531929027301,13.78956628923494,17.58191146666671,3.4175920587572284,30.44324128923496,5.917592058757228
19,2022-11-03 06:00:00,11,50,-90,2,16.65367500000002,7.953320000000019,0.9282364666666884,5.144531929027301,13.78956628923494,17.58191146666671,3.4175920587572284,30.44324128923496,5.917592058757228
20,2023-10-02 06:00:00,10,50,-90,2,27.147880000000015,16.898905000000013,9.491948129032282,6.3460454350670075,25.357061716699803,36.639828129032296,5.773647305858821,52.50494171669982,8.273647305858821
21,2023-10-03 06:00:00,10,50,-90,2,27.147880000000015,16.898905000000013,9.491948129032282,6.3460454350670075,25.357061716699803,36.639828129032296,5.773647305858821,52.50494171669982,8.273647305858821
22,2023-10-09 06:00:00,10,20,80,3,34.26214333333335,22.90354666666669,31.084401806451634,1.2341486300756053,34.169773381640645,65.346545139785,52.948683446483905,68.43191671497401,55.448683446483905
23,2023-10-10 06:00:00,10,20,80,3,34.26214333333335,22.90354666666669,31.084401806451634,1.2341486300756053,34.169773381640645,65.346545139785,52.948683446483905,68.43191671497401,55.448683446483905
24,2023-10-11 06:00:00,10,20,80,3,34.26214333333335,22.90354666666669,31.084401806451634,1.2341486300756053,34.169773381640645,65.346545139785,52.948683446483905,68.43191671497401,55.448683446483905
25,2024-05-30 06:00:00,5,60,130,2,26.473355000000026,11.445565000000016,12.145867419354863,5.222435502391148,25.201956175332732,38.61922241935489,7.394868237563234,51.675311175332766,9.894868237563234
26,2024-05-31 06:00:00,5,60,130,2,26.473355000000026,11.445565000000016,12.145867419354863,5.222435502391148,25.201956175332732,38.61922241935489,7.394868237563234,51.675311175332766,9.894868237563234
