,country,subregion,region,location,temperature,start_year,start_month,total_deaths,start_date,end_date,duration_days,duration,latitude,longitude,delta_temp_C,delta_temp_std
23,Bulgaria,Eastern Europe,Europe,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca, provinces",-19.0,2012,12,3.0,2012-12-01,2012-12-15,14 days,14,40.0,30.0,-11.83737308758208,-3.687932942314077
24,Poland,Eastern Europe,Europe,"Podlaskie, Warminsko-Mazurskie provinces",-24.0,2013,3,25.0,2013-03-01,2013-03-26,25 days,25,50.0,20.0,-14.347585896716286,-3.7964100513108763
25,Poland,Eastern Europe,Europe,"Podlaskie, Warminsko-Mazurskie provinces",-24.0,2013,3,25.0,2013-03-01,2013-03-26,25 days,25,50.0,20.0,-14.347585896716286,-3.7964100513108763
26,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-24.0,2014,1,78.0,2014-01-23,2014-01-27,4 days,4,50.0,20.0,-10.360191712833991,-2.3372503731727843
27,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-24.0,2014,1,78.0,2014-01-23,2014-01-27,4 days,4,50.0,20.0,-10.360191712833991,-2.3372503731727843
28,Romania,Eastern Europe,Europe,Bucarest province,-18.0,2014,1,13.0,2014-01-26,2014-01-31,5 days,5,50.0,20.0,-4.360191712833991,-0.9836555143378188
29,India,Southern Asia,Asia,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",-9.0,2014,1,24.0,2014-01-20,2014-01-24,4 days,4,20.0,80.0,-19.53489379889622,-7.6918995240366055
30,India,Southern Asia,Asia,Muzaffarnagar district (Uttar Pradesh province),3.1,2014,12,16.0,2014-12-07,2014-12-09,2 days,2,20.0,80.0,-6.640647197485965,-2.298311106868494
31,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-20.0,2016,1,21.0,2016-01-02,2016-01-04,2 days,2,50.0,20.0,-6.360191712833991,-1.4348538006161407
32,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",-20.0,2016,1,21.0,2016-01-02,2016-01-04,2 days,2,50.0,20.0,-6.360191712833991,-1.4348538006161407
33,China,Eastern Asia,Asia,"Yakeshi city (Hulunbuir district, Nei Mongol Zizhiqu province), Harbin district (Heilongjiang Sheng province), Mohe area (Daxing'anling district, Heilongjiang province), Changsha district (Hunan Sheng province), Changchun district (Jilin Sheng province), Zhejiang Sheng, Beijing Shi, Hainan Sheng, Shanghai Shi provinces",-41.0,2016,1,5.0,2016-01-20,2016-01-26,6 days,6,30.0,110.0,-34.38097601513926,-13.52472523129504
34,Republic of Korea,Eastern Asia,Asia,"Jejudo, Ulleungedo (Kangwondo), Seoul, Chollabuk-do, Chollanam-do, Chungchongbuk-do, Chungchongnam-do, Inchon, Kang-won-do, Kwangju, Kyonggi-do, Kyongsangbuk-do, Kyongsangnam-do, Pusan, Taegu, Taejon",-18.0,2016,1,6.0,2016-01-20,2016-01-26,6 days,6,30.0,120.0,-11.222514328781623,-3.308289911504368
35,Thailand,South-eastern Asia,Asia,"Chai Nat Province, Bangkok, Chiang Rai, Phetchabum",-2.22,2016,1,14.0,2016-01-20,2016-01-26,6 days,6,20.0,100.0,-12.654009052128448,-6.4767658331666675
36,Taiwan (Province of China),Eastern Asia,Asia,"Taipei, Taoyuan, Kaohsiung, Yangmingshan, the Matsu Islands, Kinmen, Miaoli County",-1.3,2016,1,85.0,2016-01-20,2016-01-26,6 days,6,30.0,120.0,5.47748567121838,1.6147103987229947
37,Bangladesh,Southern Asia,Asia,,2.6,2018,1,34.0,2018-01-01,2018-01-10,9 days,9,30.0,90.0,33.43009180885035,8.163782109781357
38,India,Southern Asia,Asia,New Delhi,4.2,2018,1,44.0,2018-01-01,2018-02-07,37 days,37,20.0,80.0,-6.691365498954042,-2.6761806729742506
39,State of Palestine,Western Asia,Asia,West Bank and Gaza Strip,0.0,2020,1,3.0,2020-01-18,2020-02-05,18 days,18,30.0,40.0,3.154256350943462,1.1358979380995655
40,Afghanistan,Southern Asia,Asia,"Ghor, Baghlan, Sar-e-Pul, Faryab, Takhar, Kandahar, Nimroz and Badghis",-33.0,2023,1,166.0,2023-01-09,2023-01-23,14 days,14,30.0,70.0,-30.1570597985554,-11.463695050293584
