Country,ISO,Year,Population,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
Republic of Korea,KOR,2024,51751065.0,22.0,100.0,0.0,0.0,22.0
Romania,ROU,2022,19048502.0,2455.0,100.0,0.0,0.0,2455.0
Romania,ROU,2023,19059479.0,2585.0,100.0,0.0,0.0,2585.0
Saudi Arabia,SAU,2024,35300280.0,1301.0,100.0,0.0,0.0,1301.0
Serbia,SRB,2022,6664449.0,574.0,100.0,0.0,0.0,574.0
Serbia,SRB,2023,6623183.0,464.0,100.0,0.0,0.0,464.0
Slovakia,SVK,2022,5431752.0,365.0,100.0,0.0,0.0,365.0
Slovakia,SVK,2023,5426740.0,247.0,100.0,0.0,0.0,247.0
Slovenia,SVN,2022,2112076.0,154.0,100.0,0.0,0.0,154.0
Slovenia,SVN,2023,2120461.0,95.0,100.0,0.0,0.0,95.0
Spain,ESP,2022,47786102.0,11324.0,100.0,0.0,0.0,11324.0
Spain,ESP,2023,48347910.0,8352.0,100.0,0.0,0.0,8352.0
State of Palestine,PSE,2020,4803269.0,0.0,0.0,3.0,100.0,3.0
State of Palestine,PSE,2022,5043612.0,0.0,0.0,0.0,0.0,4.0
Sweden,SWE,2022,10486941.0,40.0,100.0,0.0,0.0,40.0
Sweden,SWE,2023,10536632.0,13.0,100.0,0.0,0.0,13.0
Switzerland,CHE,2022,8777088.0,302.0,100.0,0.0,0.0,302.0
Switzerland,CHE,2023,8888093.0,294.0,100.0,0.0,0.0,294.0
Thailand,THA,2024,71668011.0,61.0,100.0,0.0,0.0,61.0
United Kingdom of Great Britain and Northern Ireland,GBR,2020,66744000.0,2556.0,100.0,0.0,0.0,2556.0
United Kingdom of Great Britain and Northern Ireland,GBR,2022,67604000.0,3469.0,100.0,0.0,0.0,3469.0
United Kingdom of Great Britain and Northern Ireland,GBR,2023,68492000.0,1851.0,100.0,0.0,0.0,1851.0
United States of America,USA,2021,332099760.0,229.0,100.0,0.0,0.0,229.0
United States of America,USA,2023,336806231.0,14.0,58.333333333333336,0.0,0.0,24.0
United States of America,USA,2024,340110988.0,1006.0,100.0,0.0,0.0,1006.0
Viet Nam,VNM,2024,100987686.0,0.0,,0.0,,0.0
