,Country,Start Year,Start Month,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
90,Australia,2023,12.0,0.0,0.0,10.0,0.0,0.0
91,Australia,2024,2.0,0.0,0.0,2.0,0.0,0.0
92,Australia,2024,4.0,0.0,0.0,0.0,0.0,0.0
93,Australia,2024,8.0,0.0,0.0,1.0,0.0,0.0
94,Austria,2021,7.0,0.0,0.0,1.0,0.0,0.0
95,Austria,2022,8.0,0.0,0.0,5.0,0.0,0.0
96,Austria,2024,9.0,0.0,0.0,5.0,0.0,0.0
97,Azerbaijan,2021,11.0,0.0,0.0,14.0,0.0,0.0
98,Bangladesh,2020,2.0,0.0,0.0,15.0,0.0,0.0
99,Bangladesh,2020,5.0,0.0,0.0,26.0,0.0,0.0
100,Bangladesh,2020,6.0,0.0,0.0,307.0,0.0,0.0
101,Bangladesh,2020,9.0,0.0,0.0,24.0,0.0,0.0
102,Bangladesh,2021,1.0,0.0,0.0,0.0,0.0,0.0
103,Bangladesh,2021,3.0,0.0,0.0,350.0,0.0,0.0
104,Bangladesh,2021,4.0,0.0,0.0,36.0,0.0,0.0
105,Bangladesh,2021,5.0,0.0,0.0,29.0,0.0,0.0
106,Bangladesh,2021,7.0,0.0,0.0,73.0,0.0,0.0
107,Bangladesh,2021,8.0,0.0,0.0,21.0,0.0,0.0
108,Bangladesh,2021,12.0,0.0,0.0,37.0,0.0,0.0
109,Bangladesh,2022,3.0,0.0,0.0,25.0,0.0,0.0
110,Bangladesh,2022,5.0,0.0,0.0,141.0,0.0,0.0
111,Bangladesh,2022,6.0,0.0,0.0,49.0,0.0,0.0
112,Bangladesh,2022,9.0,0.0,0.0,68.0,0.0,0.0
113,Bangladesh,2022,10.0,0.0,0.0,35.0,0.0,0.0
114,Bangladesh,2023,1.0,0.0,0.0,127.0,0.0,0.0
115,Bangladesh,2023,3.0,0.0,0.0,34.0,0.0,0.0
116,Bangladesh,2023,4.0,0.0,0.0,10.0,0.0,0.0
117,Bangladesh,2023,5.0,0.0,0.0,3.0,0.0,0.0
118,Bangladesh,2023,8.0,0.0,0.0,4.0,0.0,0.0
119,Bangladesh,2023,10.0,0.0,0.0,3.0,0.0,0.0
120,Bangladesh,2024,1.0,0.0,0.0,0.0,0.0,0.0
121,Bangladesh,2024,2.0,0.0,0.0,45.0,0.0,0.0
122,Bangladesh,2024,4.0,10.0,0.0,10.0,100.0,0.0
123,Bangladesh,2024,5.0,0.0,0.0,31.0,0.0,0.0
124,Bangladesh,2024,8.0,0.0,0.0,71.0,0.0,0.0
125,Bangladesh,2024,10.0,0.0,0.0,12.0,0.0,0.0
126,Barbados,2021,7.0,0.0,0.0,0.0,0.0,0.0
127,Belarus,2023,3.0,0.0,0.0,0.0,0.0,0.0
128,Belgium,2021,7.0,0.0,0.0,39.0,0.0,0.0
129,Belgium,2023,11.0,0.0,0.0,0.0,0.0,0.0
130,Belize,2020,11.0,0.0,0.0,0.0,0.0,0.0
131,Belize,2022,11.0,0.0,0.0,0.0,0.0,0.0
132,Belize,2024,5.0,0.0,0.0,0.0,0.0,0.0
133,Benin,2020,10.0,0.0,0.0,6.0,0.0,0.0
134,Benin,2021,9.0,0.0,0.0,13.0,0.0,0.0
135,Benin,2022,9.0,0.0,0.0,44.0,0.0,0.0
136,Benin,2023,1.0,0.0,0.0,22.0,0.0,0.0
137,Benin,2023,9.0,0.0,0.0,34.0,0.0,0.0
138,Benin,2024,6.0,0.0,0.0,0.0,0.0,0.0
139,Bhutan,2021,4.0,0.0,0.0,0.0,0.0,0.0
140,Bhutan,2021,6.0,0.0,0.0,10.0,0.0,0.0
141,Bolivia (Plurinational State of),2020,1.0,0.0,0.0,5.0,0.0,0.0
142,Bolivia (Plurinational State of),2020,2.0,0.0,0.0,26.0,0.0,0.0
143,Bolivia (Plurinational State of),2021,1.0,0.0,0.0,19.0,0.0,0.0
144,Bolivia (Plurinational State of),2021,2.0,0.0,0.0,9.0,0.0,0.0
145,Bolivia (Plurinational State of),2021,3.0,0.0,0.0,20.0,0.0,0.0
146,Bolivia (Plurinational State of),2021,4.0,0.0,0.0,0.0,0.0,0.0
147,Bolivia (Plurinational State of),2021,7.0,0.0,0.0,34.0,0.0,0.0
148,Bolivia (Plurinational State of),2021,9.0,0.0,0.0,23.0,0.0,0.0
149,Bolivia (Plurinational State of),2021,11.0,0.0,0.0,7.0,0.0,0.0
150,Bolivia (Plurinational State of),2021,12.0,0.0,0.0,15.0,0.0,0.0
151,Bolivia (Plurinational State of),2022,1.0,0.0,0.0,11.0,0.0,0.0
152,Bolivia (Plurinational State of),2022,2.0,0.0,0.0,60.0,0.0,0.0
153,Bolivia (Plurinational State of),2022,12.0,0.0,0.0,11.0,0.0,0.0
154,Bolivia (Plurinational State of),2023,1.0,0.0,0.0,5.0,0.0,0.0
155,Bolivia (Plurinational State of),2023,3.0,0.0,0.0,3.0,0.0,0.0
156,Bolivia (Plurinational State of),2023,9.0,0.0,0.0,10.0,0.0,0.0
157,Bolivia (Plurinational State of),2023,11.0,0.0,0.0,12.0,0.0,0.0
158,Bolivia (Plurinational State of),2023,12.0,0.0,0.0,14.0,0.0,0.0
159,Bolivia (Plurinational State of),2024,1.0,0.0,0.0,2.0,0.0,0.0
160,Bolivia (Plurinational State of),2024,2.0,0.0,0.0,0.0,0.0,0.0
161,Bolivia (Plurinational State of),2024,4.0,0.0,0.0,14.0,0.0,0.0
162,Bolivia (Plurinational State of),2024,7.0,0.0,0.0,2.0,0.0,0.0
163,Bolivia (Plurinational State of),2024,11.0,0.0,0.0,2.0,0.0,0.0
164,Bolivia (Plurinational State of),2024,12.0,0.0,0.0,13.0,0.0,0.0
165,Bosnia and Herzegovina,2020,6.0,0.0,0.0,0.0,0.0,0.0
166,Bosnia and Herzegovina,2021,11.0,0.0,0.0,0.0,0.0,0.0
167,Bosnia and Herzegovina,2022,4.0,0.0,0.0,1.0,0.0,0.0
168,Bosnia and Herzegovina,2022,12.0,0.0,0.0,1.0,0.0,0.0
169,Bosnia and Herzegovina,2023,5.0,0.0,0.0,0.0,0.0,0.0
170,Bosnia and Herzegovina,2023,7.0,0.0,0.0,1.0,0.0,0.0
171,Bosnia and Herzegovina,2024,1.0,0.0,0.0,0.0,0.0,0.0
172,Bosnia and Herzegovina,2024,8.0,0.0,0.0,12.0,0.0,0.0
173,Bosnia and Herzegovina,2024,10.0,0.0,0.0,27.0,0.0,0.0
174,Botswana,2023,7.0,0.0,0.0,0.0,0.0,0.0
175,Botswana,2024,11.0,0.0,0.0,0.0,0.0,0.0
176,Brazil,2020,1.0,0.0,0.0,61.0,0.0,0.0
177,Brazil,2020,2.0,0.0,0.0,57.0,0.0,0.0
178,Brazil,2020,3.0,0.0,0.0,60.0,0.0,0.0
179,Brazil,2020,6.0,0.0,0.0,12.0,0.0,0.0
180,Brazil,2020,11.0,0.0,0.0,37.0,0.0,0.0
181,Brazil,2020,12.0,0.0,0.0,35.0,0.0,0.0
182,Brazil,2021,1.0,0.0,0.0,21.0,0.0,0.0
183,Brazil,2021,2.0,0.0,0.0,6.0,0.0,0.0
184,Brazil,2021,3.0,0.0,0.0,1.0,0.0,0.0
185,Brazil,2021,4.0,0.0,0.0,0.0,0.0,0.0
186,Brazil,2021,6.0,0.0,0.0,2.0,0.0,0.0
187,Brazil,2021,11.0,0.0,0.0,51.0,0.0,0.0
188,Brazil,2022,1.0,0.0,0.0,50.0,0.0,0.0
189,Brazil,2022,2.0,0.0,0.0,272.0,0.0,0.0
190,Brazil,2022,3.0,0.0,0.0,8.0,0.0,0.0
191,Brazil,2022,4.0,0.0,0.0,23.0,0.0,0.0
192,Brazil,2022,5.0,0.0,0.0,119.0,0.0,0.0
