,month,max_extreme,min_extreme
1,1,0.25620727453046754,-20.58745747998861
2,2,1.855722001860876,-38.789472157967275
3,3,-9.785275076645469,-44.52002926900549
4,4,-12.248824485382109,-53.29362260760738
5,5,-15.016087223854651,-51.15660085319687
6,6,-12.568256357316919,-57.404250372788
7,7,-15.916080981549825,-61.00882558611314
8,8,-14.754523551597774,-61.19647006399371
9,9,-15.486090027614296,-54.72196310966522
10,10,-8.429413492444144,-50.55167077409633
11,11,-1.7045881913987913,-33.388190934405316
12,12,0.41190362060658803,-20.28356633934834
