,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-33.321687903225786,3.253438056129681,-25.188092762901583,-38.76591801075267,3.092730032096774,-46.497743090994604
2,2,-41.80155541176468,4.906914375266093,-29.534269473599448,-47.63393188235292,4.958470311295251,-60.03010766059104
3,3,-51.641361182795684,5.691144651456968,-37.41349955415326,-56.76281166666665,5.232188311185056,-69.8432824446293
4,4,-56.94347883333331,5.057073221509962,-44.3007957795584,-61.56001144444443,4.824344594367675,-73.62087293036362
5,5,-57.540237903225794,6.324100022161335,-41.72998784782246,-62.88322392473116,5.869100937495307,-77.55597626846944
6,6,-57.18461005555553,5.749474994197005,-42.81092257006302,-62.473563166666644,5.010203378683826,-74.9990716133762
7,7,-57.53295988505745,6.516647090511385,-41.24134215877899,-63.024455114942505,6.135626661072279,-78.3635217676232
8,8,-58.35698212903223,6.939076093444124,-41.009291895421924,-64.08424645161287,6.091292956279303,-79.31247884231112
9,9,-56.74480313333331,6.760279294140548,-39.84410489798194,-62.10876013333332,6.759206730810864,-79.00677696036048
10,10,-51.51663574193545,5.314496968379679,-38.23039332098625,-57.756834516129004,5.280699165772821,-70.95858243056105
11,11,-40.29861019999997,5.688805206410793,-26.07659718397299,-45.974359733333316,5.713860485851907,-60.259010947963084
12,12,-32.36520890322578,3.181826248835715,-24.41064328113649,-37.6345551612903,3.2617218748079155,-45.78885984831009
