,month,max_extreme,min_extreme
1,1,37.40643250091344,16.7936759786901
2,2,39.72430193669354,17.30599969934713
3,3,40.58105654254348,22.393138798116155
4,4,40.067828493395616,22.48086407885111
5,5,38.557147366443665,21.2007678863244
6,6,34.96309548447685,20.357836523231715
7,7,32.791272416280634,20.362582429309867
8,8,32.05068680510028,20.273294657644158
9,9,33.12336026346576,19.96964571878567
10,10,33.63373658213915,19.798845580528898
11,11,36.02704399837727,17.30249424443167
12,12,36.71671831976714,16.349249556233495
