,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-25.185260645161268,3.253728174045576,-17.05094021004733,-29.69068258064514,3.4481660736729283,-38.311097764827466
2,2,-32.150872999999976,4.644043916429819,-20.540763208925426,-37.053108352941145,4.4726366732590614,-48.234700036088796
3,3,-38.58539494623653,5.506709553506645,-24.818621062469923,-42.75428860215051,5.186520451088695,-55.720589729872245
4,4,-41.860399166666646,6.346418717564008,-25.994352372756627,-46.00017027777776,5.746834660974813,-60.36725693021479
5,5,-45.239031935483844,5.630847512477359,-31.161913154290446,-49.361478172042986,5.028035067628028,-61.931565841113056
6,6,-46.41336438888886,5.67537445968353,-32.22492823968003,-50.27762483333332,5.303297140923656,-63.53586768564246
7,7,-46.999644137931014,6.983361094561141,-29.54124140152816,-51.50302982758618,6.268111817603518,-67.17330937159498
8,8,-47.50430645161288,7.345562545896508,-29.140400086871608,-51.80424425806449,6.229772750995759,-67.37867613555389
9,9,-45.32283686666665,6.363412306755336,-29.414306099778308,-49.70116619999997,5.854526327463504,-64.33748201865873
10,10,-40.085565032258046,6.158379416499767,-24.68961649100863,-45.381056774193524,5.71976455766341,-59.68046816835205
11,11,-30.25106746666665,5.978076235983314,-15.305876876708364,-35.66383919999998,5.953014821474916,-50.54637625368727
12,12,-24.28472199999998,3.3853995335806455,-15.821223166048368,-28.881520064516106,3.4196271271527667,-37.43058788239802
