,month,max_extreme,min_extreme
1,1,-11.221475332301676,-30.426699629692337
2,2,-13.019381927837298,-38.69100120366908
3,3,-16.003621645581564,-47.333863895009515
4,4,-15.600073528066957,-50.7825677382736
5,5,-20.392271035756487,-54.847087651370614
6,6,-21.233224788931533,-55.629184210377204
7,7,-21.50896179350926,-58.322538423197585
8,8,-20.813392713276617,-59.105705491650994
9,9,-21.592502416168728,-54.27940801293506
10,10,-16.87027393784518,-51.01505790449782
11,11,-9.384949830356643,-41.36744283076096
12,12,-11.053369096969421,-29.729847356344692
