,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
242,2020-08-30,-9.880830000000005,-33.18361999999999,-79.99999999999889,-170.00000000000648,True,False,True,False
243,2020-08-31,-6.916539999999998,-9.5933,-79.99999999999889,-170.00000000000648,True,False,True,False
244,2020-09-01,-6.918979999999976,-19.89857999999998,-79.99999999999889,-170.00000000000648,True,False,True,False
336,2020-12-02,-13.641899999999964,-19.10911999999999,-79.99999999999889,-170.00000000000648,False,True,False,True
337,2020-12-03,-14.770899999999983,-19.05807999999999,-79.99999999999889,-170.00000000000648,False,True,False,True
338,2020-12-04,-14.318799999999952,-19.029459999999972,-79.99999999999889,-170.00000000000648,False,True,False,True
339,2020-12-05,-14.37473,-19.47921999999997,-79.99999999999889,-170.00000000000648,False,True,False,True
477,2021-04-22,-52.25793999999999,-54.53691999999998,-79.99999999999889,-170.00000000000648,False,True,False,True
478,2021-04-23,-52.03947999999997,-57.21228999999997,-79.99999999999889,-170.00000000000648,False,True,False,True
479,2021-04-24,-54.50901999999997,-59.22113999999999,-79.99999999999889,-170.00000000000648,False,True,False,True
480,2021-04-25,-51.09149999999997,-55.22767999999997,-79.99999999999889,-170.00000000000648,False,True,False,True
1350,2023-09-12,-10.416169999999966,-20.47109999999998,-79.99999999999889,-170.00000000000648,True,False,True,False
1351,2023-09-13,-11.387429999999997,-19.763109999999983,-79.99999999999889,-170.00000000000648,True,False,True,False
1477,2024-01-17,-1.021950000000004,-2.782079999999951,-79.99999999999889,-170.00000000000648,True,False,True,False
1478,2024-01-18,-0.9944799999999532,-3.097879999999975,-79.99999999999889,-170.00000000000648,True,False,True,False
