,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
73,2020-03-14,-7.594149999999956,-27.430459999999982,70.00000000000114,-110.00000000000988,True,False,True,False
74,2020-03-15,-8.22811999999999,-19.20047999999997,70.00000000000114,-110.00000000000988,True,False,True,False
80,2020-03-21,-6.1381999999999834,-14.68322999999998,70.00000000000114,-110.00000000000988,True,False,True,False
81,2020-03-22,-7.811399999999992,-19.249409999999983,70.00000000000114,-110.00000000000988,True,False,True,False
977,2022-09-04,14.815400000000013,5.48947000000004,70.00000000000114,-110.00000000000988,True,False,True,False
978,2022-09-05,14.174220000000048,7.539330000000007,70.00000000000114,-110.00000000000988,True,False,True,False
1032,2022-10-29,-22.81717999999998,-29.37761999999998,70.00000000000114,-110.00000000000988,False,True,False,True
1033,2022-10-30,-29.174109999999985,-31.628419999999977,70.00000000000114,-110.00000000000988,False,True,False,True
1034,2022-10-31,-27.958579999999984,-32.11197999999999,70.00000000000114,-110.00000000000988,False,True,False,True
1546,2024-03-26,-7.355319999999949,-12.8322,70.00000000000114,-110.00000000000988,True,False,True,False
1547,2024-03-27,-8.315499999999986,-16.51315999999997,70.00000000000114,-110.00000000000988,True,False,True,False
1681,2024-08-08,28.030730000000005,13.93643000000003,70.00000000000114,-110.00000000000988,True,False,True,False
1682,2024-08-09,27.903279999999995,15.388480000000015,70.00000000000114,-110.00000000000988,True,False,True,False
1683,2024-08-10,27.28018000000003,14.97732000000002,70.00000000000114,-110.00000000000988,True,False,True,False
1861,2025-02-04,-12.363169999999968,-22.128559999999965,70.00000000000114,-110.00000000000988,True,False,True,False
1862,2025-02-05,-13.08918,-28.46169999999998,70.00000000000114,-110.00000000000988,True,False,True,False
1975,2025-05-29,14.243980000000022,-0.0998299999999972,70.00000000000114,-110.00000000000988,True,False,True,False
1976,2025-05-30,17.71896000000004,8.139760000000024,70.00000000000114,-110.00000000000988,True,False,True,False
