,month,max_extreme,min_extreme
1,1,-15.577452744132959,-46.38788426702091
2,2,-14.636712258619148,-46.004031643539264
3,3,-12.751640994596563,-46.61852074110577
4,4,-6.919225982400327,-42.15594653012684
5,5,-4.470735376581031,-27.939891863736406
6,6,3.0648445020069657,-20.205692497157457
7,7,3.643348180366148,-12.13759692370321
8,8,3.0988763310178946,-18.161933017887012
9,9,-0.14280953650219885,-30.592295351910135
10,10,-7.862918758355299,-38.08160621037047
11,11,-12.850245431680163,-40.74675011331104
12,12,-10.985475771063943,-45.92345410597756
