,month,max_extreme,min_extreme
1,1,-13.626964775528947,-28.063344950476658
2,2,-12.838150104858006,-36.31517677398276
3,3,-14.939087537006577,-43.516257504786175
4,4,-18.753898767076105,-47.284061377686044
5,5,-12.794142652514077,-47.87757798321091
6,6,-14.257705329691508,-48.64792022509354
7,7,-15.747475333668298,-50.07949296671863
8,8,-19.894067645496733,-54.4439438777402
9,9,-21.264212307846428,-48.6971567704049
10,10,-21.690902658289577,-44.800919097280996
11,11,-13.992962890226357,-37.973638356143624
12,12,-10.687134787051487,-28.761106951592097
