,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
116,2020-04-26,-19.983149999999966,-24.54016999999999,-79.99999999999889,0.0,True,False,True,False
117,2020-04-27,-19.89976999999999,-28.825499999999977,-79.99999999999889,0.0,True,False,True,False
429,2021-03-05,-20.21560999999997,-24.238989999999973,-79.99999999999889,0.0,True,False,True,False
430,2021-03-06,-21.47599999999997,-25.417039999999982,-79.99999999999889,0.0,True,False,True,False
750,2022-01-20,-12.093969999999956,-17.898119999999977,-79.99999999999889,0.0,True,False,True,False
751,2022-01-21,-13.890169999999957,-18.05398999999997,-79.99999999999889,0.0,True,False,True,False
1430,2023-12-01,-30.407659999999964,-35.24470999999997,-79.99999999999889,0.0,False,True,False,True
1431,2023-12-02,-30.891119999999972,-35.81034999999997,-79.99999999999889,0.0,False,True,False,True
1432,2023-12-03,-31.151719999999983,-36.31401999999997,-79.99999999999889,0.0,False,True,False,True
1582,2024-05-01,-23.000369999999975,-29.61421999999999,-79.99999999999889,0.0,True,False,True,False
1583,2024-05-02,-22.437979999999985,-24.120799999999974,-79.99999999999889,0.0,True,False,True,False
1584,2024-05-03,-24.484819999999985,-31.04580999999999,-79.99999999999889,0.0,True,False,True,False
1668,2024-07-26,-25.77807999999999,-33.85681999999997,-79.99999999999889,0.0,True,False,True,False
1669,2024-07-27,-25.719409999999986,-32.603309999999965,-79.99999999999889,0.0,True,False,True,False
1671,2024-07-29,-25.14973999999998,-34.49145999999999,-79.99999999999889,0.0,True,False,True,False
1672,2024-07-30,-24.48512999999997,-27.755199999999977,-79.99999999999889,0.0,True,False,True,False
1673,2024-07-31,-23.14973999999998,-25.35299999999998,-79.99999999999889,0.0,True,False,True,False
1866,2025-02-09,-15.54544999999996,-23.572269999999975,-79.99999999999889,0.0,True,False,True,False
1867,2025-02-10,-14.981299999999976,-18.740929999999963,-79.99999999999889,0.0,True,False,True,False
1868,2025-02-11,-16.249199999999973,-19.929359999999978,-79.99999999999889,0.0,True,False,True,False
