,month,max_extreme,min_extreme
1,1,-1.08893107950653,-22.041991192373363
2,2,0.1589138549981115,-36.756337583730954
3,3,-12.312522154050535,-43.42094824175237
4,4,-15.12074584169444,-51.01229735862823
5,5,-18.469663095908125,-47.446512011377706
6,6,-15.333546846514857,-52.896085263412196
7,7,-20.369959726928485,-53.81460677342115
8,8,-18.546235727242756,-57.34583336164578
9,9,-20.200169327927952,-51.49703721354351
10,10,-11.59465849291649,-49.392400670789996
11,11,-3.0595255697199413,-34.67321900951314
12,12,-0.9079163986799905,-20.547870651948067
