,month,max_extreme,min_extreme
1,1,-2.785484133823947,-20.3389407066829
2,2,-2.8181638174840113,-33.21258701825625
3,3,-12.249990928616109,-39.20042531242572
4,4,-11.825294780646,-46.375536055015274
5,5,-10.986018907058627,-45.2148423783156
6,6,-9.662722007335335,-45.60360182980665
7,7,-15.30842539616947,-45.64798694469461
8,8,-10.492132831197235,-53.47864998242474
9,9,-12.969095491437114,-46.252486111171955
10,10,-12.639589285767839,-38.525969406798914
11,11,-5.652366959699801,-31.457865110209404
12,12,-2.618502089643851,-19.97408535747963
