,month,max_extreme,min_extreme
1,1,-0.9027269678862746,-18.42400552496608
2,2,0.7114980139092495,-34.885961067232415
3,3,-6.261597403979394,-43.74507459246916
4,4,-10.024012745519958,-49.72339545705131
5,5,-12.424493391569868,-51.63248198629037
6,6,-10.123293754436254,-57.96927191388507
7,7,-12.659194860208885,-59.80779710222548
8,8,-11.907375267761946,-62.54470114171466
9,9,-14.306308155398984,-54.39179517694941
10,10,-8.288976514954147,-48.16325185775239
11,11,0.9524143338780284,-31.17671442657291
12,12,0.5716235553498636,-19.043830076823454
