,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
681,2021-11-12,28.369500000000016,14.97323,-19.99999999999918,139.99999999999636,False,True,False,True
682,2021-11-13,29.46893,16.418000000000006,-19.99999999999918,139.99999999999636,False,True,False,True
975,2022-09-02,27.42538000000002,13.274650000000008,-19.99999999999918,139.99999999999636,False,True,False,True
976,2022-09-03,24.31844000000001,12.070550000000026,-19.99999999999918,139.99999999999636,False,True,False,True
977,2022-09-04,25.64828,13.14790000000005,-19.99999999999918,139.99999999999636,False,True,False,True
1065,2022-12-01,31.773770000000013,19.771600000000035,-19.99999999999918,139.99999999999636,False,True,False,True
1066,2022-12-02,32.13186000000002,19.985130000000023,-19.99999999999918,139.99999999999636,False,True,False,True
1067,2022-12-03,32.954679999999996,19.968740000000025,-19.99999999999918,139.99999999999636,False,True,False,True
1068,2022-12-04,34.26827000000003,20.43716000000001,-19.99999999999918,139.99999999999636,False,True,False,True
1129,2023-02-03,29.531150000000025,18.676170000000013,-19.99999999999918,139.99999999999636,False,True,False,True
1130,2023-02-04,30.3442,19.56265000000002,-19.99999999999918,139.99999999999636,False,True,False,True
1168,2023-03-14,31.885950000000037,18.836940000000027,-19.99999999999918,139.99999999999636,False,True,False,True
1169,2023-03-15,33.6173,19.542400000000043,-19.99999999999918,139.99999999999636,False,True,False,True
