,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-4.071227526881698,5.122107562091395,8.73404137834679,-7.618313602150518,5.703298094158867,-21.876558837547684
2,2,-3.7149387647058596,3.371935263554711,4.714899394180918,-7.606063294117625,4.137763687369607,-17.950472512541644
3,3,-1.8443704301075057,2.9957793622965596,5.645077975633893,-6.8710790860214805,3.653145345195418,-16.003942449010026
4,4,1.6943438888889135,2.6884556343828936,8.415482974846148,-3.3459522222222,2.78219885746447,-10.301449365883375
5,5,4.628860967741958,2.4909411758133304,10.856213907275283,0.16361543010755053,2.009931934197015,-4.861214405384987
6,6,9.036706777777802,2.964495237727891,16.44794487209753,4.1838807777778015,2.3864760540683947,-1.782309357393185
7,7,10.711663103448297,2.399898214348253,16.71140863931893,6.79198413793106,1.7615763929559713,2.3880431555411317
8,8,11.009721354838735,2.277872031476007,16.70440143352875,7.287571677419379,1.559691248779047,3.3883435554717614
9,9,7.623296733333356,1.7906767204088212,12.099988534355408,3.9300098666666887,2.565683048920523,-2.484197755634619
10,10,2.8982483870967974,3.1358804096856074,10.737949411310817,-0.8107535483870741,3.681193828088139,-10.013738118607423
11,11,-1.7847214666666442,3.8516926576195356,7.844510177382196,-6.00957213333331,4.5706982665007265,-17.436317799585126
12,12,-2.945038064516107,3.4285985588907018,5.626458332710648,-6.864985677419331,3.90047730122067,-16.616178930471005
