,month,max_extreme,min_extreme
1,1,-5.281271793475613,-21.971625055001955
2,2,-2.9030656624817546,-32.767526611784106
3,3,-4.407303106692121,-40.58308331912676
4,4,-8.117396420316776,-42.543286792703455
5,5,-3.301315568482167,-45.77457477066216
6,6,-3.7513249106814754,-47.41644108643595
7,7,-5.396803079582558,-49.29791168900552
8,8,-8.479396726531142,-53.868996953336776
9,9,-8.819555056407342,-46.454701191993266
10,10,-14.233578550957535,-37.98417342361019
11,11,-8.436655639378094,-34.06696422756469
12,12,-3.108829507887486,-23.666680599259045
