,month,max_extreme,min_extreme
1,1,-12.937219567916305,-41.77127958748303
2,2,-7.387861285594511,-44.76722587919305
3,3,-11.757509994681087,-44.45383132063262
4,4,-3.8041739520896662,-39.07360053680152
5,5,0.5910553745993496,-23.919710710571984
6,6,5.861229237461696,-10.922725930540922
7,7,7.482576963058769,-4.274055509916189
8,8,6.485855733069128,-10.186237453242562
9,9,2.3822928662326763,-20.265111587872894
10,10,-5.1513154970181105,-30.666140967815515
11,11,-10.227252131189083,-35.93524129237339
12,12,-8.208490874533497,-40.99666508580263
