,month,max_extreme,min_extreme
1,1,-14.411592847385034,-35.40568651773706
2,2,-17.63108385049076,-44.96997857810145
3,3,-21.595572096547023,-52.53407086561317
4,4,-21.814673814340434,-56.854802802652515
5,5,-27.21616643261955,-59.22440760410091
6,6,-28.202758642275462,-59.64607695154116
7,7,-26.20519159360801,-63.76763440488932
8,8,-25.21229411095795,-64.28909570197993
9,9,-25.78038421617231,-60.58071250997561
10,10,-21.339660584275162,-56.26759083932755
11,11,-12.055321050836802,-47.7003678430804
12,12,-13.681316381675629,-34.18209421372675
