,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
39,2020-02-09,-3.15616,-14.776700000000003,40.00000000000114,30.00000000000017,False,True,False,True
40,2020-02-10,4.642179999999996,-17.136539999999968,40.00000000000114,30.00000000000017,False,True,False,True
154,2020-06-03,17.06573000000003,5.313260000000014,40.00000000000114,30.00000000000017,False,True,False,True
155,2020-06-04,19.48965000000004,5.744840000000011,40.00000000000114,30.00000000000017,False,True,False,True
383,2021-01-18,-5.214639999999974,-22.44850999999997,40.00000000000114,30.00000000000017,False,True,False,True
384,2021-01-19,-5.670939999999973,-24.389179999999985,40.00000000000114,30.00000000000017,False,True,False,True
385,2021-01-20,-1.9814799999999764,-20.18376999999998,40.00000000000114,30.00000000000017,False,True,False,True
521,2021-06-05,16.797799999999995,6.299340000000029,40.00000000000114,30.00000000000017,False,True,False,True
522,2021-06-06,20.369529999999997,6.341330000000028,40.00000000000114,30.00000000000017,False,True,False,True
664,2021-10-26,14.256560000000036,0.4519999999999982,40.00000000000114,30.00000000000017,False,True,False,True
665,2021-10-27,16.06722000000002,0.2809400000000437,40.00000000000114,30.00000000000017,False,True,False,True
723,2021-12-24,2.8650800000000345,-10.043199999999956,40.00000000000114,30.00000000000017,False,True,False,True
724,2021-12-25,6.051000000000045,-8.674170000000004,40.00000000000114,30.00000000000017,False,True,False,True
754,2022-01-24,-4.970370000000003,-19.64227999999997,40.00000000000114,30.00000000000017,False,True,False,True
755,2022-01-25,-4.286469999999952,-20.51879999999997,40.00000000000114,30.00000000000017,False,True,False,True
757,2022-01-27,-1.6159999999999854,-17.229529999999983,40.00000000000114,30.00000000000017,False,True,False,True
758,2022-01-28,-2.3526999999999703,-20.595739999999974,40.00000000000114,30.00000000000017,False,True,False,True
800,2022-03-11,-2.544399999999996,-11.04962999999998,40.00000000000114,30.00000000000017,False,True,False,True
801,2022-03-12,-4.273169999999993,-11.07565999999997,40.00000000000114,30.00000000000017,False,True,False,True
998,2022-09-25,24.184320000000017,4.320640000000026,40.00000000000114,30.00000000000017,False,True,False,True
999,2022-09-26,27.93340000000001,5.1027500000000146,40.00000000000114,30.00000000000017,False,True,False,True
