,month,max_extreme,min_extreme
1,1,-17.05094021004733,-38.311097764827466
2,2,-20.540763208925426,-48.234700036088796
3,3,-24.818621062469923,-55.720589729872245
4,4,-25.994352372756627,-60.36725693021479
5,5,-31.161913154290446,-61.931565841113056
6,6,-32.22492823968003,-63.53586768564246
7,7,-29.54124140152816,-67.17330937159498
8,8,-29.140400086871608,-67.37867613555389
9,9,-29.414306099778308,-64.33748201865873
10,10,-24.68961649100863,-59.68046816835205
11,11,-15.305876876708364,-50.54637625368727
12,12,-15.821223166048368,-37.43058788239802
