,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-2.624527204301053,2.5562608874464208,3.7661250143149987,-8.967096290322559,3.9004282279201634,-18.718166860122967
2,2,-5.711146705882331,3.1021179980234916,2.0441482891763982,-11.24958094117645,4.017992318210565,-21.294561736702864
3,3,-7.907339999999979,3.984222659253792,2.0532166481345007,-12.369288817204277,4.62285983675037,-23.926438409080205
4,4,-12.056760499999978,4.726159864370061,-0.24136083907482586,-16.890018777777758,4.884697344583337,-29.1017621392361
5,5,-14.243191666666643,5.6463593275410835,-0.12729334781393398,-19.32020064516127,5.8328581843197185,-33.90234610596056
6,6,-16.796516888888867,6.20388289316113,-1.2868096559860422,-22.08451583333331,6.16468732533964,-37.49623414668241
7,7,-17.97845252873561,6.904043185162346,-0.7183445658297458,-23.430838735632157,6.79243109624895,-40.41191647625453
8,8,-18.14937948387095,6.622324804744442,-1.5935674720098447,-23.670218774193525,6.773946583514438,-40.60508523297962
9,9,-19.976810866666643,5.827551304890427,-5.407932604440575,-25.408963666666647,6.032624862094691,-40.490525821903375
10,10,-13.65929109677417,5.9309492823135885,1.1680821090098004,-19.79914432258062,6.302574128512995,-35.555579643863105
11,11,-6.872498866666644,4.137809017408977,3.472023676855799,-13.24479773333331,5.305084863198808,-26.50750989133033
12,12,-3.065281290322557,2.2007212311550917,2.436521787565172,-9.293110645161267,3.525710090318673,-18.10738587095795
