,month,max_extreme,min_extreme
1,1,3.7661250143149987,-18.718166860122967
2,2,2.0441482891763982,-21.294561736702864
3,3,2.0532166481345007,-23.926438409080205
4,4,-0.24136083907482586,-29.1017621392361
5,5,-0.12729334781393398,-33.90234610596056
6,6,-1.2868096559860422,-37.49623414668241
7,7,-0.7183445658297458,-40.41191647625453
8,8,-1.5935674720098447,-40.60508523297962
9,9,-5.407932604440575,-40.490525821903375
10,10,1.1680821090098004,-35.555579643863105
11,11,3.472023676855799,-26.50750989133033
12,12,2.436521787565172,-18.10738587095795
