,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-17.470147849462343,2.2262097180679583,-11.904623554292447,-19.437398548387073,2.2126226393614075,-24.96895514679059
2,2,-21.43643935294115,4.022994546018238,-11.378952987895554,-23.896562058823505,3.913334209742771,-33.679897583180434
3,3,-27.69919741935482,4.427755081318824,-16.62980971605776,-30.84530215053761,4.3104472630030495,-41.62142030804523
4,4,-29.910756611111083,4.858955357361557,-17.76336821770719,-33.63286144444442,4.681596313245811,-45.33685222755895
5,5,-29.374638870967722,5.1046480389295565,-16.61301877364383,-33.31148833333331,4.88711278683624,-45.52927030042391
6,6,-29.503628277777757,5.124067131992216,-16.693460447797214,-33.66282394444442,4.534104392374314,-44.998084925380205
7,7,-32.48592080459768,5.111312298047951,-19.707640059477807,-36.43545017241377,4.375257364880562,-47.37359358461518
8,8,-33.86049741935482,7.226268008976661,-15.794827396913167,-37.68821180645159,6.465308821850308,-53.85148386107736
9,9,-31.652972466666647,4.521481699258713,-20.349268218519864,-35.397905066666645,4.162283775076542,-45.803614504358
10,10,-28.126693870967713,3.6047155764326018,-19.114904929886208,-31.102568451612886,3.6777870116512066,-40.2970359807409
11,11,-22.87663653333331,3.4441030944628497,-14.266378797176188,-25.092424999999977,3.312120952341252,-33.37272738085311
12,12,-17.145444645161266,2.445548204955567,-11.031574132772349,-18.974217161290298,2.4272213875588395,-25.042270630187396
