,month,max_extreme,min_extreme
1,1,34.0870120735445,12.830732828198071
2,2,34.6626529835425,13.291464141221422
3,3,33.716564554697236,11.407329074256598
4,4,33.83792519851774,9.499615757656516
5,5,30.457055330662744,6.111428098704861
6,6,30.824610633671597,4.034091384477256
7,7,31.49955778151124,3.2496080615513403
8,8,36.5249651740387,4.451824720737729
9,9,40.64099232525193,5.265372975681073
10,10,42.009605092845966,8.648292782015652
11,11,41.456061475292515,11.965388384688982
12,12,38.99509634318769,12.81566040283677
