,month,max_extreme,min_extreme
1,1,-24.091751026278537,-46.349595671065046
2,2,-27.243480505102777,-58.148881129018214
3,3,-35.671817863730915,-67.2877277259597
4,4,-40.3227959756617,-70.78755372629749
5,5,-40.12180548779028,-74.09782958459596
6,6,-38.43391469102055,-73.16204763986889
7,7,-39.03978649388389,-74.47825779785701
8,8,-35.40157060961152,-76.64798390756872
9,9,-37.445978743355425,-73.61038944830737
10,10,-36.01584827423067,-67.42742691531807
11,11,-26.63932293153187,-57.27553599769815
12,12,-24.71260678565538,-44.265199163166024
