,month,max_extreme,min_extreme
1,1,-23.626712568191227,-45.55228440893445
2,2,-27.22689207885965,-58.58987744576576
3,3,-37.225222802507744,-66.38604336026299
4,4,-41.90952557124012,-71.2423605442161
5,5,-42.15880148519158,-74.13299866593488
6,6,-37.10077440968257,-75.96220040593215
7,7,-38.86019574646498,-76.01061109724853
8,8,-36.19612851088256,-77.89275843444248
9,9,-37.64748433064911,-75.26383506953765
10,10,-37.47559159692127,-67.66004838827455
11,11,-25.21999521174576,-58.954290052811274
12,12,-24.539204339242275,-44.078727029816314
