,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,30.55719973118282,2.2116163615481534,36.0862406350532,15.635354301075289,1.5626348724713552,11.7287671198969
2,2,32.61742364705885,2.1897862240901564,38.09188920728424,17.159784941176493,1.8523983275788352,12.528789122229405
3,3,37.122623978494644,1.6733323284891104,41.30595479971742,21.20814064516131,1.9171236524136632,16.415331514127153
4,4,38.216664111111136,1.5763780295177081,42.157609184905404,24.412085611111134,2.1510322261213246,19.034505045807823
5,5,36.479845322580665,1.7372468654683542,40.82296248625155,25.213190591397872,1.1708463277642844,22.28607477198716
6,6,32.59290461111114,2.361572895618265,38.4968368501568,23.37867616666669,1.0442116150545513,20.76814712903031
7,7,29.48275212643681,1.6083045688804034,33.50351354863782,21.986146551724165,0.6768615158390072,20.293992762126646
8,8,28.30707154838712,1.6217576527985216,32.361465680383425,21.46739045161293,0.6932130635851588,19.73435779265003
9,9,29.00249086666669,1.663598723228482,33.1614876747379,21.47434913333336,0.7023880039268328,19.71837912351628
10,10,31.592718709677442,1.7625044135259127,35.99897974349222,20.937518322580665,1.552151405439001,17.057139808983163
11,11,32.41696660000002,1.3714510748612307,35.8455942871531,19.05411466666669,1.787504929871519,14.58535234198789
12,12,30.752494258064537,2.0099854892869486,35.77745798128191,16.630809032258085,1.6459353356251396,12.515970693195236
