,month,max_extreme,min_extreme
1,1,-20.739746593092768,-34.91289630949895
2,2,-20.39373595443953,-45.38605577549366
3,3,-26.308248317269854,-53.510597404772454
4,4,-27.107998545069034,-57.34990015118859
5,5,-27.9090601538963,-56.580248592388216
6,6,-28.19964840686139,-56.54321980343114
7,7,-29.616078766773544,-60.8645727885301
8,8,-29.06456379403936,-61.94670471861748
9,9,-30.092972618675983,-57.914349165890634
10,10,-29.773409163342073,-51.088599568195505
11,11,-22.282651743075164,-43.47996641175096
12,12,-19.43286342929752,-34.98157328799502
