,month,max_extreme,min_extreme
1,1,41.41320887662918,15.259066310814632
2,2,42.34759423761369,12.532485801603752
3,3,39.949555026641455,11.715924679180352
4,4,32.456577821076095,7.207395259794769
5,5,31.209379853246958,1.593053891662489
6,6,29.59995232974289,-1.9021327870249856
7,7,31.36494344837015,-2.981070170639354
8,8,36.08974240913496,-1.8358765987205565
9,9,35.17601895983495,3.0736255059125916
10,10,37.51625428153608,6.236338411437945
11,11,38.6749667778061,10.038353094162387
12,12,40.39463485286754,13.024150765082014
