,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-11.553670698924707,2.331915730210294,-5.723881373398972,-15.252252258064495,2.355397542898704,-21.140746115311256
2,2,-16.273609411764685,4.259994762043575,-5.623622506655748,-19.99084482352939,4.1614910215443635,-30.394572377390297
3,3,-21.732863494623633,5.154531203663501,-8.84653548546488,-25.449802258064498,4.809675396523392,-37.47399074937298
4,4,-23.89843899999997,6.110478904014089,-8.62224173996475,-27.611694555555534,5.3608456853668685,-41.01380876897271
5,5,-27.61786069892471,5.919740441576997,-12.818509594982215,-31.4158648924731,5.199980598771733,-44.41581638940243
6,6,-29.30419311111109,6.18591552570651,-13.839404296844815,-33.047278444444416,5.498748944886593,-46.794150806660895
7,7,-30.39625212643676,6.270614549347311,-14.719715753068483,-34.473687126436765,5.937701606512125,-49.317941142717075
8,8,-31.904962193548364,6.680604697564228,-15.203450449637792,-35.25891212903224,5.948711891202914,-50.13069185703952
9,9,-28.225666133333313,5.432677267166742,-14.643972965416458,-31.838031733333313,4.834648219689271,-43.924652282556494
10,10,-23.90794709677417,5.43469909742044,-10.321199353223069,-27.920962322580625,5.06559668929443,-40.5849540458167
11,11,-15.410977466666646,4.494188067248508,-4.175507298545375,-19.359532733333314,4.643971367528879,-30.96946115215551
12,12,-11.418948193548365,2.395810662668036,-5.429421536878275,-15.128543354838689,2.5594707018982823,-21.527220109584395
