,month,max_extreme,min_extreme
1,1,1.152154494690122,-16.612466145075434
2,2,1.342758325653742,-30.79525672735933
3,3,-4.459562865512126,-43.080374497604275
4,4,-11.264225702822731,-49.44905300560332
5,5,-11.44390052137857,-53.14348608598237
6,6,-9.90641605032959,-53.849153471790885
7,7,-16.53602897784996,-52.30975651154181
8,8,-12.504365591777727,-62.819316360929875
9,9,-11.247101928267547,-55.61707008626537
10,10,-11.546063158013215,-43.649029814272296
11,11,-3.121977643502296,-31.47712039368695
12,12,1.4223701277031333,-15.720647902311267
