,month,max_extreme,min_extreme
1,1,-7.148359508000741,-54.10268339363612
2,2,-10.83069991777981,-54.19014519340446
3,3,-6.149197863838813,-44.76353659264642
4,4,4.163236566280634,-36.71139057269798
5,5,5.233118503384601,-19.745202043023497
6,6,17.294813938611913,-7.333941258073537
7,7,22.8864508718068,-0.7025934462548982
8,8,19.523394359552547,-1.8234215196237047
9,9,10.798465825151073,-7.971062688289055
10,10,9.48633656619069,-22.405774697063123
11,11,3.5759301708252753,-41.22764385374232
12,12,-0.9657565619420225,-46.44769798072046
