,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
385,2021-01-20,-11.278300000000002,-26.759529999999984,80.00000000000057,-60.00000000000029,True,False,True,False
386,2021-01-21,-9.491739999999991,-12.945599999999956,80.00000000000057,-60.00000000000029,True,False,True,False
574,2021-07-28,6.985860000000002,3.3586400000000367,80.00000000000057,-60.00000000000029,True,False,True,False
575,2021-07-29,6.091850000000022,4.921960000000013,80.00000000000057,-60.00000000000029,True,False,True,False
972,2022-08-30,-10.728099999999984,-14.515079999999957,80.00000000000057,-60.00000000000029,False,True,False,True
973,2022-08-31,-9.44932,-14.67483999999996,80.00000000000057,-60.00000000000029,False,True,False,True
