,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-22.3294816129032,3.1671555062072674,-14.411592847385034,-27.091115698924707,3.3258283275249405,-35.40568651773706
2,2,-28.927592176470565,4.518603330391922,-17.63108385049076,-33.876859411764684,4.437247666534706,-44.96997857810145
3,3,-35.34389682795697,5.499329892563977,-21.595572096547023,-39.73324801075266,5.120329141944203,-52.53407086561317
4,4,-37.953160111111096,6.455394518708265,-21.814673814340434,-42.200551777777754,5.861700409949904,-56.854802802652515
5,5,-42.16899720430106,5.981132308672604,-27.21616643261955,-46.283679247311795,5.176291342715646,-59.22440760410091
6,6,-43.06570827777776,5.945179854200919,-28.202758642275462,-46.81573566666664,5.132136513949808,-59.64607695154116
7,7,-43.75503258620687,7.019936397039545,-26.20519159360801,-48.354828333333316,6.165122428622402,-63.76763440488932
8,8,-44.40223599999998,7.675976755616813,-25.21229411095795,-48.60371341935482,6.2741529130500435,-64.28909570197993
9,9,-41.59382973333331,6.325378206864401,-25.78038421617231,-46.17414699999998,5.762626203990253,-60.58071250997561
10,10,-36.66926374193546,6.1318412630641195,-21.339660584275162,-41.8980676129032,5.747809290569743,-56.26759083932755
11,11,-27.10672893333331,6.020563152998603,-12.055321050836802,-32.19568973333332,6.201871243898833,-47.7003678430804
12,12,-21.652806064516106,3.188595873136191,-13.681316381675629,-26.329100967741912,3.141197298393936,-34.18209421372675
