,month,max_extreme,min_extreme
1,1,13.301957261556657,-14.054357308097856
2,2,16.05188223602469,-13.63342837162423
3,3,20.52208493127028,-10.287978536391256
4,4,27.294153541710074,-7.167647300637193
5,5,34.01729732951528,-2.606907998385484
6,6,38.66937969438084,3.825951226370014
7,7,38.61681248194372,10.748725124095422
8,8,37.77221523332388,10.387926674364781
9,9,38.27270907440403,4.57076492352285
10,10,33.643288950503035,-3.6991024156535026
11,11,20.62053578073403,-10.655241630583701
12,12,13.143526215556264,-13.564793290413874
