,month,max_extreme,min_extreme
1,1,-11.904623554292447,-24.96895514679059
2,2,-11.378952987895554,-33.679897583180434
3,3,-16.62980971605776,-41.62142030804523
4,4,-17.76336821770719,-45.33685222755895
5,5,-16.61301877364383,-45.52927030042391
6,6,-16.693460447797214,-44.998084925380205
7,7,-19.707640059477807,-47.37359358461518
8,8,-15.794827396913167,-53.85148386107736
9,9,-20.349268218519864,-45.803614504358
10,10,-19.114904929886208,-40.2970359807409
11,11,-14.266378797176188,-33.37272738085311
12,12,-11.031574132772349,-25.042270630187396
