,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
546,2021-06-30,23.985299999999995,20.41744,8.35914670815896e-13,-70.00000000000256,False,True,False,True
547,2021-07-01,24.837980000000016,19.65634,8.35914670815896e-13,-70.00000000000256,False,True,False,True
548,2021-07-02,26.266500000000008,19.157560000000046,8.35914670815896e-13,-70.00000000000256,False,True,False,True
549,2021-07-03,29.157770000000028,18.457820000000027,8.35914670815896e-13,-70.00000000000256,False,True,False,True
963,2022-08-21,25.494529999999997,20.10223000000002,8.35914670815896e-13,-70.00000000000256,False,True,False,True
964,2022-08-22,28.11727000000002,20.217550000000017,8.35914670815896e-13,-70.00000000000256,False,True,False,True
965,2022-08-23,28.719420000000017,20.241480000000024,8.35914670815896e-13,-70.00000000000256,False,True,False,True
1037,2022-11-03,24.13583,20.0831,8.35914670815896e-13,-70.00000000000256,False,True,False,True
1038,2022-11-04,28.017660000000035,19.19616000000002,8.35914670815896e-13,-70.00000000000256,False,True,False,True
