,month,max_extreme,min_extreme
1,1,12.29857143515542,-31.572348177622978
2,2,9.784730910911577,-28.944041840338947
3,3,11.741591964546084,-19.83694832277896
4,4,18.678356318201203,-11.153860912224681
5,5,29.279588041877243,-8.002454382567441
6,6,30.899351039428794,2.7552522593641555
7,7,30.995535373358926,8.219588639126796
8,8,30.198035645751172,5.48795596126661
9,9,26.25914271837157,0.2674878792240669
10,10,17.129380335248882,-6.23589034188969
11,11,11.822671741374169,-16.67487149026467
12,12,6.776875339564592,-26.152221941616048
