,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-6.05704822580643,2.6689121110158536,0.6152320517332033,-11.86341327956987,3.7080419982003763,-21.133518275070813
2,2,-9.559722705882333,2.6091723001455955,-3.0367919555183445,-15.136843705882331,3.0336625402794004,-22.721000056580834
3,3,-12.46557704301073,3.69116892479222,-3.2376547310301813,-17.228417795698906,4.38812676958828,-28.198734719669606
4,4,-16.207285388888867,4.55373363171578,-4.822951309599416,-20.641947833333308,4.581366017815994,-32.09536287787329
5,5,-18.08376758064514,4.991924138890634,-5.603957233418555,-22.441804784946218,4.918146280407887,-34.73717048596593
6,6,-19.819079777777752,5.625817896091183,-5.754535037549793,-23.984830611111093,5.164091887595512,-36.895060330099874
7,7,-20.260515632183886,5.5973493049390965,-6.267142369836144,-24.76273827586204,5.176942663645198,-37.70509493497504
8,8,-19.992890838709652,5.585249245036587,-6.029767726118186,-24.370084967741914,5.261932176378708,-37.524915408688685
9,9,-21.67099766666664,4.995487377883683,-9.182279221957431,-26.306624266666645,4.851631680410231,-38.43570346769222
10,10,-16.38787051612901,4.818248181566871,-4.34225006221183,-21.85562735483869,5.165358405654069,-34.76902336897386
11,11,-10.536355066666648,3.7513284260679143,-1.158034001496862,-16.488018066666644,4.5238409354244995,-27.797620405227892
12,12,-6.728761161290299,2.1726482257956956,-1.2971405968010599,-12.473030258064492,2.7927419192549046,-19.454885056201753
