,month,max_extreme,min_extreme
1,1,-11.058030066939837,-40.020769195871694
2,2,-14.960037228912189,-46.12380450327946
3,3,-18.425084701392525,-54.08965890672405
4,4,-22.26412080013721,-59.083095574271525
5,5,-25.906869464083137,-59.71980684191764
6,6,-26.31323790782057,-58.63473994076945
7,7,-17.32183713603376,-61.19883155702747
8,8,-24.17143647152988,-59.25311506151479
9,9,-25.004824563563165,-55.01393814192077
10,10,-19.982507001048276,-54.35654510241473
11,11,-16.188692619495416,-47.25505295683382
12,12,-13.360510129308313,-36.41699622286394
