,month,max_extreme,min_extreme
1,1,37.47434737259375,15.209364200976019
2,2,40.49554559990373,14.678340528568086
3,3,38.565131026143064,13.218116351731709
4,4,33.06652941631234,10.462866435653888
5,5,32.33403192514705,4.3099166669852575
6,6,29.849814899006297,0.5833989856894526
7,7,31.14920146848305,0.8081249363968341
8,8,35.122687545255,2.8818573491107777
9,9,38.74803115153447,7.46711671629385
10,10,41.03821241275647,12.191400750501032
11,11,40.59655100309899,15.240018631891775
12,12,40.813674523657134,16.31173220884312
