,month,max_extreme,min_extreme
1,1,-22.635679744148753,-43.94149572694853
2,2,-27.644546477735233,-56.32751043653131
3,3,-32.609882238298034,-68.5856004067738
4,4,-36.991657195767715,-73.9759148837194
5,5,-41.320266193693385,-75.24101430877731
6,6,-39.3240867338178,-76.419304315567
7,7,-37.05292065878144,-76.75843998561034
8,8,-37.86836511114822,-77.84787569850292
9,9,-38.46610456672985,-77.91896500743704
10,10,-35.22947376615819,-70.53148434489405
11,11,-22.986814282012197,-62.043281458006234
12,12,-22.631244244849853,-44.60703827188725
