,month,max_extreme,min_extreme
1,1,39.647789433363585,14.562590047540738
2,2,37.30747905494792,14.075824601040617
3,3,36.55241362859587,12.273877128212124
4,4,28.898442087229018,6.312917757531897
5,5,25.94889760441734,1.8823220130533915
6,6,22.62326752513666,-0.7667249331689234
7,7,21.85671815576277,-1.0100942934553103
8,8,26.330105536516967,-0.09541043309329034
9,9,30.376554739793175,2.2934541363528
10,10,33.37242915080634,6.502585269912158
11,11,38.59451756503131,7.596398213018238
12,12,38.53520410368762,10.690208197419198
