,month,max_extreme,min_extreme
1,1,-19.317238379464094,-36.696827864859046
2,2,-21.470833454066934,-47.79296023166414
3,3,-29.873052867640965,-55.44206093021825
4,4,-33.08922361119213,-60.6775877600365
5,5,-32.29262711005263,-60.85695022333637
6,6,-31.665716555842288,-59.998463002713535
7,7,-37.12372101044551,-59.77201810487455
8,8,-32.90471460095245,-62.88365351124457
9,9,-34.56841035514235,-59.83048988068577
10,10,-31.291889559178188,-52.94017843891138
11,11,-21.460432857617363,-46.120254703335206
12,12,-18.634206651602284,-34.49992721881251
