,date,temp_max,temp_min,latitude,longitude,is_above_max_extreme,is_below_min_extreme,is_heat_wave,is_cold_wave
182,2020-07-01,-18.780279999999976,-24.855759999999975,-84.99999999999861,-175.00000000000625,True,False,True,False
183,2020-07-02,-18.107339999999965,-29.526249999999976,-84.99999999999861,-175.00000000000625,True,False,True,False
480,2021-04-25,-39.97548999999998,-45.422079999999966,-84.99999999999861,-175.00000000000625,False,True,False,True
481,2021-04-26,-44.287559999999985,-47.117399999999975,-84.99999999999861,-175.00000000000625,False,True,False,True
1275,2023-06-29,-41.05568999999997,-45.56681999999998,-84.99999999999861,-175.00000000000625,False,True,False,True
1276,2023-06-30,-38.89647999999997,-46.011019999999974,-84.99999999999861,-175.00000000000625,False,True,False,True
1284,2023-07-08,-19.44471999999999,-24.52336999999997,-84.99999999999861,-175.00000000000625,True,False,True,False
1285,2023-07-09,-19.30064999999999,-24.961459999999988,-84.99999999999861,-175.00000000000625,True,False,True,False
1348,2023-09-10,-18.931859999999972,-22.673819999999974,-84.99999999999861,-175.00000000000625,True,False,True,False
1349,2023-09-11,-20.24047999999999,-24.959389999999985,-84.99999999999861,-175.00000000000625,True,False,True,False
1987,2025-06-10,-14.67743999999999,-21.544129999999967,-84.99999999999861,-175.00000000000625,True,False,True,False
1988,2025-06-11,-15.657799999999952,-22.48539999999997,-84.99999999999861,-175.00000000000625,True,False,True,False
