,month,max_extreme,min_extreme
1,1,-5.723881373398972,-21.140746115311256
2,2,-5.623622506655748,-30.394572377390297
3,3,-8.84653548546488,-37.47399074937298
4,4,-8.62224173996475,-41.01380876897271
5,5,-12.818509594982215,-44.41581638940243
6,6,-13.839404296844815,-46.794150806660895
7,7,-14.719715753068483,-49.317941142717075
8,8,-15.203450449637792,-50.13069185703952
9,9,-14.643972965416458,-43.924652282556494
10,10,-10.321199353223069,-40.5849540458167
11,11,-4.175507298545375,-30.96946115215551
12,12,-5.429421536878275,-21.527220109584395
