,month,max_extreme,min_extreme
1,1,-1.3922810691026442,-34.309803766753305
2,2,5.663837091733205,-32.41733846653181
3,3,13.539337389436115,-24.931376520056013
4,4,22.948024031899728,-15.66338384531991
5,5,27.853956842286518,-9.79373538295198
6,6,30.873254804380313,-3.6083935475876068
7,7,28.610802063990842,1.7782002990529122
8,8,26.845099713259998,-1.4683618027680385
9,9,26.331328547344228,-10.281475439572901
10,10,14.418686273237821,-12.735183537848522
11,11,10.308131022783373,-27.498962524292352
12,12,0.2820862264068822,-34.011247818465684
