,month,max_mean,max_std,max_extreme,min_mean,min_std,min_extreme
1,1,-8.979946397849439,6.829766801343869,8.094470605510232,-15.885539247311806,7.629457821865971,-34.959183801976735
2,2,-6.95779829411762,6.160135470960412,8.442540383283411,-14.400184470588213,6.844819343496089,-31.512232829328433
3,3,-1.2625027419354622,4.840411035466341,10.838524846730392,-9.493517311827937,5.531249858775166,-23.321641958765852
4,4,14.209804333333354,6.762761542013637,31.116708188367447,0.7129326111111365,5.111736178466457,-12.066407835055006
5,5,22.480171720430135,5.674292375842379,36.66590266003608,9.17531182795701,4.270812218927751,-1.5017187193623673
6,6,26.586851500000023,4.7607052533340415,38.488614633335125,14.077861000000025,3.2721888187197115,5.897388953200746
7,7,28.21137482758623,4.319608623989135,39.01039638755907,16.639333160919566,2.39901841169576,10.641787131680166
8,8,25.934249548387122,4.611200281590121,37.46225025236242,14.703910064516148,3.122441778330586,6.897805618689683
9,9,18.214926066666692,5.957974357013638,33.109861959200785,7.50282826666669,3.8919236754350344,-2.2269809219208963
10,10,10.142942903225828,5.321503037449755,23.446700496850216,0.7534956774193783,3.4554184377588664,-7.885050416977787
11,11,-0.3877788666666438,6.565980480364751,16.027172334245236,-7.247226333333313,6.910892271938369,-24.524457013179234
12,12,-8.172750451612881,6.497808677882819,8.071771243094165,-14.403358129032236,7.076465198351522,-32.09452112491104
