,month,max_extreme,min_extreme
1,1,0.3402449513109902,-19.861103081945775
2,2,-1.8621239603571187,-32.745639287464364
3,3,-0.35178856035435757,-49.991419815966495
4,4,-6.763671472708918,-50.76500427555381
5,5,-2.867381301482194,-57.070417761619545
6,6,-3.121330082641709,-58.30596963043522
7,7,-6.767423988552935,-59.66719696584479
8,8,-8.936136347810187,-65.24508607028967
9,9,-4.303038654751756,-61.87214496645316
10,10,-12.190626942654962,-48.532344577242355
11,11,-5.328092936532162,-38.27090717110827
12,12,1.1485614396565564,-20.872339850216104
