,month,max_extreme,min_extreme
1,1,13.451846942684032,-46.68287015870913
2,2,8.4952246225919,-40.54555906892025
3,3,14.179225350970171,-32.25536415017406
4,4,21.309089833690077,-20.460140060683074
5,5,28.227099883473937,-6.047013565473464
6,6,31.679029567440903,1.8215229064235947
7,7,32.198015829459365,6.612041863826808
8,8,32.92100114492435,4.02340584077564
9,9,26.27579879959018,-0.7643427266269116
10,10,22.057638650604353,-14.144838962861728
11,11,10.08412330795143,-32.17045233184526
12,12,10.428998573517145,-45.39120416543717
